epoch,split,action_mse,action_loss,continuous_mse,gripper_mse,mse_h0,mse_h1,mse_h2,mse_h3
0,train,0.37029445739019484,0.370294451713562,,,0.11740953475236893,0.20502591133117676,,
0,val,0.3232187713895525,0.323218767841657,0.23512539888421694,0.8517791628837585,0.10059899091720581,0.06435396522283554,,
1,train,0.28909194469451904,0.2890919546286265,,,0.08488162606954575,0.06396671384572983,,
1,val,0.20262590192613147,0.202625905474027,0.10816035761187474,0.7694191932678223,0.04110484570264816,0.05868834629654884,,
2,train,0.19770359425317674,0.19770359496275583,,,0.06576855480670929,0.060665249824523926,,
2,val,0.1891865503220331,0.1891865481932958,0.10250181068355839,0.7092949748039246,0.04082278534770012,0.040876228362321854,,
3,train,0.18676754974183582,0.1867675483226776,,,0.06338556855916977,0.06637047976255417,,
3,val,0.16951316878909156,0.1695131634672483,0.08824963603789608,0.6570943593978882,0.03412633016705513,0.03939877822995186,,
4,train,0.16321027278900146,0.16321027278900146,,,0.057907942682504654,0.05168527737259865,,
4,val,0.13307820331482662,0.1330782026052475,0.06493223846579592,0.541953980922699,0.02823103964328766,0.0312829352915287,,
5,train,0.13378159205118814,0.13378159205118814,,,0.03971157595515251,0.054454151540994644,,
5,val,0.12953818412054152,0.12953818092743555,0.07377784342194597,0.4641001522541046,0.030957838520407677,0.035491298884153366,,
6,train,0.12705217088971818,0.12705217053492865,,,0.0416266955435276,0.04170815646648407,,
6,val,0.09474443537848336,0.09474443395932515,0.057468221678088106,0.3184017241001129,0.020466633141040802,0.032169826328754425,,
7,train,0.09078091382980347,0.09078091382980347,,,0.01996195688843727,0.032908085733652115,,
7,val,0.0811134832245963,0.08111348499854405,0.057630935218185186,0.22200877964496613,0.02599070966243744,0.023178407922387123,,
8,train,0.08062030871709187,0.08062030871709187,,,0.027730002999305725,0.03512148931622505,,
8,val,0.07149018134389605,0.07149018347263336,0.0543039122906824,0.1746077984571457,0.0249214768409729,0.022381506860256195,,
9,train,0.06988791057041713,0.06988791127999623,,,0.025425290688872337,0.028410157188773155,,
9,val,0.06141706165813264,0.06141706183552742,0.04004245468725761,0.18966470658779144,0.01521387044340372,0.024913320317864418,,
10,train,0.061256597439448036,0.06125659868121147,,,0.014591713435947895,0.020743822678923607,,
10,val,0.05640166430246262,0.0564016637702783,0.03679773684901496,0.17402523756027222,0.015710070729255676,0.02652931958436966,,
11,train,0.05600944587162563,0.056009446581204735,,,0.018886104226112366,0.019271763041615486,,
11,val,0.051981608072916664,0.0519816093146801,0.031739065035556756,0.17343686521053314,0.017915276810526848,0.022282684221863747,,
12,train,0.0520053676196507,0.052005367974440254,,,0.012026741169393063,0.016202129423618317,,
12,val,0.04879188679513477,0.048791887859503426,0.028219447083150346,0.17222653329372406,0.019434140995144844,0.01918276771903038,,
13,train,0.04913213990983509,0.049132139732440315,,,0.017832063138484955,0.02413524128496647,,
13,val,0.04533960847627549,0.04533960918585459,0.025537389097735286,0.16415290534496307,0.01634400151669979,0.019807713106274605,,
14,train,0.044666572695686704,0.04466657216350237,,,0.008689681999385357,0.010662256740033627,,
14,val,0.04176658108120873,0.04176658267776171,0.022643032018095255,0.15650786459445953,0.013243410736322403,0.02108713984489441,,
15,train,0.04226372781253997,0.04226372887690862,,,0.012523297220468521,0.01860346645116806,,
15,val,0.039832545178277154,0.0398325448234876,0.021701315805936854,0.1486199051141739,0.011700284667313099,0.020533669739961624,,
16,train,0.03917772429330008,0.039177725091576576,,,0.006503680255264044,0.008166470564901829,,
16,val,0.03652559007917132,0.036525590966145195,0.018026084755547345,0.14752262830734253,0.010997668839991093,0.018308961763978004,,
17,train,0.036377309333710445,0.03637730826934179,,,0.012223932892084122,0.01689819246530533,,
17,val,0.033611507642836796,0.033611507465442024,0.015316019222761193,0.1433844417333603,0.011882130056619644,0.016831673681735992,,
18,train,0.03392399102449417,0.03392399040361246,,,0.0060272845439612865,0.006661661434918642,,
18,val,0.03210185964902242,0.03210185964902242,0.014214781598032763,0.13942433893680573,0.011683409102261066,0.01597735285758972,,
19,train,0.03195156582764217,0.03195156715810299,,,0.007917112670838833,0.007575107738375664,,
19,val,0.030434756051926387,0.030434756229321163,0.012717022288901111,0.13674116134643555,0.010175765492022038,0.014605016447603703,,
20,train,0.030278466996692475,0.030278466641902924,,,0.013462334871292114,0.01569969393312931,,
20,val,0.028405112879616872,0.02840511252482732,0.010983570692284653,0.13293437659740448,0.008895314298570156,0.014167984016239643,,
21,train,0.028510046856743947,0.028510046501954395,,,0.009517154656350613,0.012681826017796993,,
21,val,0.028010171084176926,0.02801017090678215,0.010931334225460887,0.13048319518566132,0.00913096871227026,0.014697843231260777,,
22,train,0.027771694319588796,0.027771693964799244,,,0.011872287839651108,0.01138217281550169,,
22,val,0.026349001697131565,0.02634900187452634,0.009234220565607151,0.12903769314289093,0.009450610727071762,0.013663145713508129,,
23,train,0.02630734017917088,0.02630734071135521,,,0.00538041815161705,0.013118705712258816,,
23,val,0.02625728150208791,0.02625728150208791,0.008996158566636344,0.12982402741909027,0.00935110542923212,0.013656429015100002,,
24,train,0.02625105246191933,0.026251052506268024,,,0.004188519436866045,0.004728558473289013,,
24,val,0.024495729378291538,0.024495729555686314,0.00779960574194168,0.12467245012521744,0.008235624060034752,0.013013564050197601,,
25,train,0.024512645744142077,0.024512645478049915,,,0.002980763092637062,0.0038075149059295654,,
25,val,0.024403583435785203,0.024403583258390427,0.007615130317086975,0.12513430416584015,0.008039579726755619,0.01357647031545639,,
26,train,0.0243389354575248,0.024338935191432636,,,0.0030049169436097145,0.008242129348218441,,
26,val,0.023460584027426585,0.02346058376133442,0.007045385738213857,0.12195178121328354,0.008096801117062569,0.012452934868633747,,
27,train,0.023350703574362256,0.023350703219572704,,,0.0029781004413962364,0.0032565456349402666,,
27,val,0.022531722273145403,0.022531722982724506,0.006244515728515883,0.12025497108697891,0.008004429750144482,0.012153391726315022,,
28,train,0.02247428468295506,0.022474283973375957,,,0.011836782097816467,0.010447720997035503,,
28,val,0.021963559445880708,0.021963559711972874,0.00596012514627849,0.11798417568206787,0.0075032697059214115,0.012451987713575363,,
29,train,0.021968437802223933,0.021968438290059566,,,0.0025441686157137156,0.005611548665910959,,
29,val,0.021607000203359695,0.02160700038075447,0.005567339598201215,0.11784496158361435,0.0074544004164636135,0.012183699756860733,,
30,train,0.021644026750609988,0.021644027282794315,,,0.011964689008891582,0.01352654304355383,,
30,val,0.02127505980786823,0.02127506025135517,0.005321132310200483,0.11699861288070679,0.007441015914082527,0.011626268737018108,,
31,train,0.021692889077322825,0.02169288881123066,,,0.010270138271152973,0.015201163478195667,,
31,val,0.02081704352583204,0.020817043259739876,0.004763533943332732,0.1171380877494812,0.007069896440953016,0.011309235356748104,,
32,train,0.02096887021547272,0.020968870570262272,,,0.002399333519861102,0.0026303892955183983,,
32,val,0.020714683192116872,0.02071468283732732,0.004746852772465597,0.11652166396379471,0.00696660066023469,0.011442926712334156,,
33,train,0.021503212906065442,0.021503213172157604,,,0.007993911392986774,0.007844936102628708,,
33,val,0.01986498066357204,0.01986498013138771,0.0042936119716614485,0.11329319328069687,0.007122047711163759,0.01150238886475563,,
34,train,0.020660081080027988,0.02066008187830448,,,0.008400177583098412,0.012080020271241665,,
34,val,0.01977458738145374,0.01977458658317725,0.004446232516784221,0.1117447093129158,0.006930408533662558,0.01143759023398161,,
35,train,0.019933373445556277,0.01993337335685889,,,0.01082762610167265,0.014342173933982849,,
35,val,0.019692907021159216,0.019692907109856606,0.004161015958137189,0.11288424581289291,0.00718707637861371,0.011268110014498234,,
36,train,0.019872172247795833,0.01987217242519061,,,0.011880367994308472,0.013648639433085918,,
36,val,0.019086799451283047,0.01908679927388827,0.0036865468428004533,0.11148831993341446,0.006799785885959864,0.01098616048693657,,
37,train,0.019651785492897034,0.01965178611377875,,,0.007420082110911608,0.007357910741120577,,
37,val,0.01897240536553519,0.018972405542929966,0.0037055903230793774,0.11057329177856445,0.006723685190081596,0.010816670954227448,,
38,train,0.01883531468255179,0.018835314239064854,,,0.003555394010618329,0.010068458504974842,,
38,val,0.018708059475535437,0.018708059564232826,0.003873270412441343,0.10771679878234863,0.007004853803664446,0.010844512842595577,,
39,train,0.01876027314435868,0.01876027261217435,,,0.009041262790560722,0.007963582873344421,,
39,val,0.018083873249235608,0.018083872894446056,0.003299760641918207,0.10678853839635849,0.006766198202967644,0.010748174041509628,,
40,train,0.018300921079658326,0.01830092103530963,,,0.0037127090618014336,0.003751235082745552,,
40,val,0.017975863956269763,0.017975864311059315,0.0032240529641664275,0.1064867302775383,0.0066361757926642895,0.01074963342398405,,
41,train,0.017957009020305816,0.017957008443772793,,,0.0031703568529337645,0.00350937619805336,,
41,val,0.017705940774508884,0.01770594095190366,0.003199754845506201,0.10474306344985962,0.006703981664031744,0.010711339302361012,,
42,train,0.01780455807844798,0.01780455807844798,,,0.005415113177150488,0.012072857469320297,,
42,val,0.017220194850649153,0.01722019538283348,0.002949538922014957,0.10284414142370224,0.006433654110878706,0.01051850151270628,,
43,train,0.017987685544150218,0.01798768589893977,,,0.007621541619300842,0.007710439618676901,,
43,val,0.017600056670960925,0.017600057025750477,0.0029229115461930633,0.10566291958093643,0.006532139610499144,0.01048754621297121,,
44,train,0.017634374399979908,0.01763437408953905,,,0.0019845867063850164,0.0060272496193647385,,
