epoch,split,action_mse,action_loss,continuous_mse,gripper_mse,mse_h0,mse_h1,mse_h2,mse_h3
0,train,0.43852569943382624,0.4385256866614024,,,0.11762594431638718,0.11871790140867233,0.0868326798081398,0.08889380097389221
0,val,0.22227248691377186,0.2222724805275599,0.11593060754239559,0.8603237271308899,0.05027225613594055,0.06028738617897034,0.047162532806396484,0.058214593678712845
1,train,0.21778186162312826,0.21778186162312826,,,0.07231765985488892,0.06919322907924652,0.06562788039445877,0.06818591803312302
1,val,0.20553751786549887,0.20553751786549887,0.09452923596836627,0.8715870380401611,0.0629819706082344,0.04544484615325928,0.035169582813978195,0.05291486904025078
2,train,0.2018835771651495,0.2018835792938868,,,0.06716325879096985,0.07435671240091324,0.07040147483348846,0.0767943412065506
2,val,0.1782035572188241,0.17820355544487634,0.07387116357373695,0.8041979670524597,0.032952919602394104,0.04134302958846092,0.03829757496714592,0.038386475294828415
3,train,0.17644476322900682,0.1764447639385859,,,0.06341621279716492,0.06899445503950119,0.06676367670297623,0.0692014992237091
3,val,0.1691918202808925,0.16919182489315668,0.07113961596041918,0.7575049996376038,0.029193604364991188,0.04629721865057945,0.047931406646966934,0.04452762380242348
4,train,0.16792872973850795,0.16792872548103333,,,0.05143347382545471,0.058926358819007874,0.06073063611984253,0.05937309190630913
4,val,0.15634256601333618,0.15634256849686304,0.06506493648824592,0.7040082812309265,0.023628653958439827,0.0487627238035202,0.0464194156229496,0.045787785202264786
5,train,0.15318235329219274,0.15318235754966736,,,0.047804322093725204,0.05271266773343086,0.049921464174985886,0.05629950389266014
5,val,0.14131206274032593,0.14131206522385278,0.0633853836528336,0.6088721752166748,0.02004398964345455,0.03578297793865204,0.041050706058740616,0.041384074836969376
6,train,0.1376902148837135,0.13769021381934485,,,0.0372166633605957,0.041006628423929214,0.03655025735497475,0.0425790511071682
6,val,0.11831432864779517,0.11831433326005936,0.055451063284029566,0.49549391865730286,0.01874384842813015,0.029020987451076508,0.03381317853927612,0.03653843328356743
7,train,0.11413043453579858,0.11413043489058812,,,0.032445136457681656,0.03764588013291359,0.03758258372545242,0.04114071652293205
7,val,0.094181151617141,0.09418115268150966,0.05115597881376743,0.35233214497566223,0.017202511429786682,0.025447947904467583,0.031832996755838394,0.03269464895129204
8,train,0.0927629414058867,0.09276293963193893,,,0.029366806149482727,0.03714996203780174,0.029310936108231544,0.03419839218258858
8,val,0.07793769382295154,0.07793769240379333,0.04641257459297776,0.267088383436203,0.015682587400078773,0.024515213444828987,0.031943339854478836,0.03344590589404106
9,train,0.07764658757618495,0.07764658828576405,,,0.019463403150439262,0.02629849873483181,0.03677789121866226,0.03575001657009125
9,val,0.07242970807211739,0.07242970665295918,0.03908096168500682,0.2725221514701843,0.0172711294144392,0.02842964045703411,0.03827011212706566,0.03582759574055672
10,train,0.07317390044530232,0.07317389796177547,,,0.030069997534155846,0.027075281366705894,0.032896824181079865,0.037228334695100784
10,val,0.07033186015628633,0.07033185909191768,0.03713970499423643,0.2694847881793976,0.022800661623477936,0.024847010150551796,0.032129283994436264,0.03519928827881813
11,train,0.06938892602920532,0.06938892851273219,,,0.020819716155529022,0.025019029155373573,0.02405494451522827,0.03045954555273056
11,val,0.06386834666842506,0.06386834631363551,0.0337456533840547,0.24460452795028687,0.019710397347807884,0.022557280957698822,0.027437446638941765,0.0350661464035511
12,train,0.06350792873473395,0.06350792696078618,,,0.02406959980726242,0.029504045844078064,0.026671959087252617,0.030367979779839516
12,val,0.06006150586264474,0.0600615069270134,0.031368544713283576,0.23221927881240845,0.015736257657408714,0.02321232110261917,0.02664771117269993,0.03476002812385559
13,train,0.06021843353907267,0.06021843353907267,,,0.019157739356160164,0.01930851861834526,0.023858189582824707,0.025919707491993904
13,val,0.058684865633646645,0.058684865633646645,0.028874245821498334,0.2375485897064209,0.01467931643128395,0.020134655758738518,0.027706727385520935,0.032928112894296646
14,train,0.05828776246025449,0.05828776334722837,,,0.01577318087220192,0.01667897403240204,0.021327292546629906,0.02540423534810543
14,val,0.0548274176461356,0.054827416936556496,0.02541063733709355,0.23132817447185516,0.013484631665050983,0.019854484125971794,0.025950046256184578,0.029538286849856377
15,train,0.05407805811791193,0.05407805865009626,,,0.009769454598426819,0.01782229356467724,0.025547528639435768,0.026137538254261017
15,val,0.051194727420806885,0.051194727420806885,0.023739134892821312,0.21592827141284943,0.013617058284580708,0.02189876325428486,0.023277955129742622,0.028197012841701508
16,train,0.051178986117953344,0.05117898682753245,,,0.017880575731396675,0.01892106421291828,0.01901409588754177,0.02122676931321621
16,val,0.048103932823453634,0.04810393353303274,0.021454993945856888,0.20799756050109863,0.013781084679067135,0.021478349342942238,0.02194318175315857,0.027674077078700066
17,train,0.04784965089389256,0.04784965142607689,,,0.013176693581044674,0.014357910491526127,0.013256270438432693,0.021782556548714638
17,val,0.044987648725509644,0.04498764748374621,0.01932113675866276,0.1989867091178894,0.012223365716636181,0.018413342535495758,0.021103380247950554,0.02635171450674534
18,train,0.0447174296492622,0.044717429826656975,,,0.006719321012496948,0.013216658495366573,0.014674331061542034,0.015525363385677338
18,val,0.0430128758861905,0.043012874821821846,0.01794029543331514,0.19344834983348846,0.01151077076792717,0.017716990783810616,0.02081053890287876,0.025394881144165993
19,train,0.04307160420077188,0.0430716040233771,,,0.007566319312900305,0.011738176457583904,0.010309088043868542,0.014468717388808727
19,val,0.0406721674260639,0.04067216689387957,0.01586788477531324,0.18949784338474274,0.011285066604614258,0.018515635281801224,0.02011335827410221,0.024673016741871834
20,train,0.04098341791402726,0.04098341738184293,,,0.007457988802343607,0.00901787169277668,0.010329445824027061,0.01072676107287407
20,val,0.03959733673504421,0.03959733620285988,0.014766610770796737,0.1885816603899002,0.011238656006753445,0.01906643435359001,0.019599679857492447,0.024120816960930824
21,train,0.039406586261022655,0.039406586438417435,,,0.015460320748388767,0.020893165841698647,0.018904047086834908,0.02641410194337368
21,val,0.038566965432394115,0.03856696436802546,0.013606869033537805,0.18832755088806152,0.010796256363391876,0.016787899658083916,0.01912582479417324,0.023532135412096977
