epoch,split,action_mse
0,val,0.17274826765060425
0,train,0.22584426403045654
1,val,0.1293264776468277
1,train,0.17274826765060425
2,val,0.09508249908685684
2,train,0.1293264776468277
3,val,0.06808504462242126
3,train,0.09508249908685684
4,val,0.046594809740781784
4,train,0.06808504462242126
5,val,0.03021998144686222
5,train,0.046594809740781784
6,val,0.018815821036696434
6,train,0.03021998144686222
7,val,0.011769539676606655
7,train,0.018815821036696434
8,val,0.007992618717253208
8,train,0.011769539676606655
9,val,0.0064970809035003185
9,train,0.007992618717253208
10,val,0.006621957756578922
10,train,0.0064970809035003185
11,val,0.007853924296796322
11,train,0.006621957756578922
12,val,0.009654616005718708
12,train,0.007853924296796322
13,val,0.011502552777528763
13,train,0.009654616005718708
14,val,0.013051962479948997
14,train,0.011502552777528763
15,val,0.014159844256937504
15,train,0.013051962479948997
16,val,0.014776628464460373
16,train,0.014159844256937504
17,val,0.014861298725008965
17,train,0.014776628464460373
18,val,0.014403657987713814
18,train,0.014861298725008965
19,val,0.013473151251673698
19,train,0.014403657987713814
20,val,0.012201794423162937
20,train,0.013473151251673698
21,val,0.010722048580646515
21,train,0.012201794423162937
22,val,0.00913453008979559
22,train,0.010722048580646515
23,val,0.007525949738919735
23,train,0.00913453008979559
24,val,0.005985918454825878
24,train,0.007525949738919735
25,val,0.004594194702804089
25,train,0.005985918454825878
26,val,0.003404176328331232
26,train,0.004594194702804089
27,val,0.002447867766022682
27,train,0.003404176328331232
28,val,0.0017465536948293447
28,train,0.002447867766022682
29,val,0.0013034864095970988
29,train,0.0017465536948293447
30,val,0.0010910589480772614
30,train,0.0013034864095970988
31,val,0.001058102585375309
31,train,0.0010910589480772614
32,val,0.0011518409010022879
32,train,0.001058102585375309
33,val,0.0013265497982501984
33,train,0.0011518409010022879
34,val,0.0015354627976194024
34,train,0.0013265497982501984
35,val,0.0017290092073380947
35,train,0.0015354627976194024
36,val,0.0018681148067116737
36,train,0.0017290092073380947
37,val,0.0019337249686941504
37,train,0.0018681148067116737
38,val,0.0019202097319066525
38,train,0.0019337249686941504
39,val,0.0018265893450006843
39,train,0.0019202097319066525
40,val,0.0016592631582170725
40,train,0.0018265893450006843
41,val,0.0014373023295775056
41,train,0.0016592631582170725
42,val,0.0011874658521264791
42,train,0.0014373023295775056
43,val,0.0009344926802441478
43,train,0.0011874658521264791
44,val,0.0006983322091400623
44,train,0.0009344926802441478
45,val,0.0004959063371643424
45,train,0.0006983322091400623
46,val,0.0003391850332263857
46,train,0.0004959063371643424
47,val,0.000232041857088916
47,train,0.0003391850332263857
48,val,0.000172088693943806
48,train,0.000232041857088916
49,val,0.00015414877270814031
49,train,0.000172088693943806
50,val,0.00016962650988716632
50,train,0.00015414877270814031
51,val,0.00020539913384709507
51,train,0.00016962650988716632
52,val,0.00024756300263106823
52,train,0.00020539913384709507
53,val,0.0002860765962395817
53,train,0.00024756300263106823
54,val,0.0003145321970805526
54,train,0.0002860765962395817
55,val,0.0003279476659372449
55,train,0.0003145321970805526
56,val,0.00032354294671677053
56,train,0.0003279476659372449
57,val,0.0003023706958629191
57,train,0.00032354294671677053
58,val,0.0002680874022189528
58,train,0.0003023706958629191
59,val,0.0002249322715215385
59,train,0.0002680874022189528
60,val,0.00017767892859410495
60,train,0.0002249322715215385
61,val,0.00013176044740248471
61,train,0.00017767892859410495
62,val,9.18195437407121e-05
62,train,0.00013176044740248471
