epoch,split,action_mse,action_loss,continuous_mse,gripper_mse,mse_h0,mse_h1,mse_h2,mse_h3
0,train,0.36181422642299105,0.36181423828956927,,,0.08271457999944687,0.07450505346059799,0.09239406138658524,0.09171276539564133
0,val,0.23397041019335343,0.23397040525649457,0.10542777025451262,1.0052262544631958,0.03210482373833656,0.02891085296869278,0.021519428119063377,0.041035767644643784
1,train,0.2295587301978949,0.22955873418361583,,,0.05953950434923172,0.06259869784116745,0.06452006846666336,0.06582377105951309
1,val,0.18786796465470798,0.18786796245803225,0.085627459998553,0.8013108968734741,0.033511143177747726,0.039667561650276184,0.03176684305071831,0.03890083730220795
2,train,0.18808225730269876,0.1880822517770402,,,0.05785837396979332,0.06023210287094116,0.05867111310362816,0.05418692156672478
2,val,0.17385548878585677,0.17385549129957847,0.08248925240089496,0.7220528721809387,0.0404675155878067,0.034360371530056,0.04190094396471977,0.04012755677103996
3,train,0.1714956869107974,0.1714956852349829,,,0.055429764091968536,0.050977982580661774,0.0601503811776638,0.06198713183403015
3,val,0.15261807195321406,0.15261807039063027,0.07025070395320654,0.6468223929405212,0.029405727982521057,0.02166772074997425,0.021502899006009102,0.035547275096178055
4,train,0.1493375888349075,0.1493375891066612,,,0.041368138045072556,0.03826151415705681,0.04439789801836014,0.04900471866130829
4,val,0.13373036659959603,0.13373037031356325,0.06662093343523641,0.5363869667053223,0.02172798477113247,0.021723691374063492,0.025002771988511086,0.031707972288131714
5,train,0.13159584346875594,0.13159583873571234,,,0.03817436471581459,0.03862953186035156,0.040296852588653564,0.045972637832164764
5,val,0.11242680419179807,0.11242680521087443,0.06291201043253143,0.4095156192779541,0.0161794014275074,0.017648447304964066,0.02145814709365368,0.028476152569055557
6,train,0.1094372787011793,0.10943727972025567,,,0.034819550812244415,0.032908808439970016,0.03866783529520035,0.04389290511608124
6,val,0.08949526175177205,0.08949525971361931,0.0569292896737655,0.2848910391330719,0.010743694379925728,0.015708042308688164,0.017089109867811203,0.0279016625136137
7,train,0.08536854196102062,0.08536853926612976,,,0.02232249826192856,0.02102947048842907,0.032570917159318924,0.04267784208059311
7,val,0.07257278059753604,0.07257278002005943,0.05160537315532565,0.19837726652622223,0.010154008865356445,0.01244323793798685,0.01614270731806755,0.026102256029844284
8,train,0.07066570009504046,0.07066569810218,,,0.013916467316448689,0.014862478710711002,0.015319396741688251,0.024236803874373436
8,val,0.06973693291104673,0.06973693527756854,0.04597814388883611,0.21228964626789093,0.014909583143889904,0.013858417049050331,0.017754249274730682,0.026112768799066544
9,train,0.06927849963805596,0.06927850152900879,,,0.015320612117648125,0.015213005244731903,0.013960788957774639,0.015022248961031437
9,val,0.0649474717925747,0.06494747078482141,0.04019211030875643,0.2134796530008316,0.015231680124998093,0.01610722579061985,0.02205618843436241,0.028533926233649254
10,train,0.06370351669636179,0.06370351796454572,,,0.014279723167419434,0.01989457942545414,0.02275734581053257,0.031534239649772644
10,val,0.056709362018434475,0.05670936175800385,0.0356652670695136,0.1829739212989807,0.011096516624093056,0.011220303364098072,0.019845716655254364,0.02576616033911705
11,train,0.05592197632717144,0.05592197694994034,,,0.012258846312761307,0.017748063430190086,0.022067179903388023,0.027854744344949722
11,val,0.054421926341882955,0.054421926194683036,0.034004325745627284,0.17692750692367554,0.009136314503848553,0.010766606777906418,0.01747981831431389,0.023034095764160156
12,train,0.05461817164551523,0.05461817250606862,,,0.01216534897685051,0.013934754766523838,0.02246101014316082,0.02204291895031929
12,val,0.0532210706577475,0.05322107046525529,0.03181187226437032,0.1816762536764145,0.00840675737708807,0.009863383136689663,0.01769578456878662,0.023298293352127075
13,train,0.053174323224006816,0.05317432377883728,,,0.014688129536807537,0.01602165400981903,0.015162077732384205,0.02432313561439514
13,val,0.05076022133638793,0.05076022263854108,0.029874014008479815,0.1760774552822113,0.008783659897744656,0.01095650251954794,0.01748213917016983,0.024766618385910988
14,train,0.0501083610267987,0.05010836143442925,,,0.010121690109372139,0.013652107678353786,0.010855663567781448,0.011774182319641113
14,val,0.04642404393946871,0.04642404504912965,0.02725517920528849,0.1614372432231903,0.007781866937875748,0.009450629353523254,0.016373416408896446,0.024282364174723625
15,train,0.045987884324372355,0.04598788465274141,,,0.009189426898956299,0.013271977193653584,0.019192451611161232,0.018651535734534264
15,val,0.04407713116121147,0.04407713047050415,0.025560881942510605,0.1551746129989624,0.007474284153431654,0.007998178713023663,0.01556096039712429,0.02230793610215187
16,train,0.04366432642139562,0.04366432685167231,,,0.010900585912168026,0.010682877153158188,0.017123524099588394,0.01768919825553894
16,val,0.04091195277530009,0.04091195262810017,0.022984211527121563,0.1484784036874771,0.00716981990262866,0.007607163395732641,0.015293956734240055,0.020612889900803566
17,train,0.04061449914717747,0.04061450016625384,,,0.009095254354178905,0.010672793723642826,0.01717095635831356,0.018009355291724205
17,val,0.038083508384263984,0.03808350765958746,0.021146493071379762,0.1397055834531784,0.007048308849334717,0.007818486541509628,0.013642160221934319,0.019400808960199356
18,train,0.03840855262199796,0.03840855199922907,,,0.011052416637539864,0.011225101538002491,0.010616031475365162,0.015046274289488792
18,val,0.035961751155215556,0.03596175057773895,0.018947994433498632,0.1380443125963211,0.005707836709916592,0.0065072085708379745,0.011464928276836872,0.019781798124313354
19,train,0.03670689182803261,0.03670689265461678,,,0.0065268720500171185,0.006969661917537451,0.013760697096586227,0.022763686254620552
19,val,0.03514193908784165,0.03514193905953397,0.018656406085938215,0.13405515253543854,0.004865380469709635,0.005227751564234495,0.010908607393503189,0.019793052226305008
20,train,0.034796963346765394,0.03479696437716484,,,0.0061835781671106815,0.0073949676007032394,0.01609627529978752,0.015488424338400364
20,val,0.032773680962327766,0.03277367999420521,0.015932737636224676,0.1338193118572235,0.004361635074019432,0.005527728237211704,0.010964899323880672,0.019619053229689598
21,train,0.03271046380503924,0.03271046249156303,,,0.005237088073045015,0.009631680324673653,0.009244577959179878,0.010192952118813992
21,val,0.031386215998409,0.03138621686462392,0.015317836698765555,0.1277965009212494,0.004573713522404432,0.0064278943464159966,0.011317502707242966,0.018591590225696564
22,train,0.03109931221124249,0.031099311412966,,,0.005362553056329489,0.006399070378392935,0.008411712013185024,0.008995329961180687
22,val,0.02993279677393951,0.029932796162493686,0.013780528524269661,0.12684641778469086,0.0032538461964577436,0.004727386869490147,0.010304829105734825,0.01777026429772377
23,train,0.030082502625995856,0.030082502580703573,,,0.009823615662753582,0.010114840231835842,0.011349296197295189,0.01668751798570156
23,val,0.02806701413766229,0.028067014041416188,0.0122545106181254,0.12294205278158188,0.002955787582322955,0.003652029437944293,0.009292070753872395,0.016971834003925323
24,train,0.028532115159426056,0.028532114593272515,,,0.0066725099459290504,0.00827170442789793,0.008116933517158031,0.01659238524734974
24,val,0.027171323364628845,0.02717132398739774,0.011385287817878028,0.12188754230737686,0.0029214846435934305,0.00387458223849535,0.00921300146728754,0.016172494739294052
25,train,0.02707717049085623,0.02707717107965591,,,0.005478103645145893,0.008538378402590752,0.008800674229860306,0.016369309276342392
25,val,0.026936316562640995,0.02693631725900985,0.010560451308265328,0.12519147992134094,0.002703471342101693,0.004728181753307581,0.009089292958378792,0.016259465366601944
26,train,0.026724095040179315,0.026724095159071558,,,0.005356432404369116,0.008389866910874844,0.008013525977730751,0.008669650182127953
26,val,0.02525696855910281,0.025256967885380097,0.00982841143074135,0.11782831698656082,0.0023434313479810953,0.003523945575580001,0.008565185591578484,0.015983615070581436
27,train,0.025383917394017737,0.025383917139248646,,,0.004219855181872845,0.007906748913228512,0.00868521723896265,0.008615026250481606
27,val,0.02459069515796418,0.024590695197594926,0.008725889609195292,0.11977952718734741,0.0026222881861031055,0.003749667666852474,0.008884037844836712,0.014834769070148468
28,train,0.024840142589209652,0.024840142894932565,,,0.008326265960931778,0.008848855271935463,0.016199244186282158,0.01553247682750225
28,val,0.023640235506654873,0.023640234815947552,0.008447285741567612,0.1147979348897934,0.0021404880098998547,0.003610647050663829,0.008679629303514957,0.014264359138906002
29,train,0.02357331670163975,0.02357331746594703,,,0.003857795847579837,0.004693672526627779,0.010726521722972393,0.016825618222355843
29,val,0.022905351905474908,0.02290535250559766,0.007957094523590058,0.11259490996599197,0.001920226844958961,0.0026034731417894363,0.0084022656083107,0.014253353700041771
30,train,0.023432380884976373,0.023432381411499167,,,0.006973913870751858,0.009440751746296883,0.011863382533192635,0.01237373799085617
30,val,0.022382744902173075,0.022382744885188467,0.007419502149180819,0.11216220259666443,0.0021107082720845938,0.002453351393342018,0.008135605603456497,0.014464585110545158
31,train,0.022569323383203756,0.022569323830465053,,,0.004078230354934931,0.006331383716315031,0.006957846228033304,0.00748446537181735
31,val,0.022057585440870477,0.022057585774901065,0.007001647415260474,0.11239323019981384,0.0018261083168908954,0.002214867854490876,0.00817888043820858,0.01389846857637167
32,train,0.022395722409512136,0.022395722409512136,,,0.008747917599976063,0.00991460308432579,0.009588195942342281,0.010049465112388134
32,val,0.0210918496082619,0.02109184995927709,0.006424252991564572,0.1090974435210228,0.0016776637639850378,0.00217747432179749,0.007968074642121792,0.013250041753053665
33,train,0.021061307391134803,0.02106130765156543,,,0.005987789481878281,0.008473311550915241,0.008216727524995804,0.008487743325531483
33,val,0.02108119034114942,0.021081190397764776,0.0063265034890112775,0.10960931330919266,0.0024612233974039555,0.0022970379795879126,0.008080297149717808,0.013439982198178768
34,train,0.021002008922194275,0.021002009530809333,,,0.0037570365238934755,0.004339301958680153,0.0058960579335689545,0.006239601876586676
34,val,0.020320456441050242,0.02032045619760422,0.005715606249092768,0.10794954746961594,0.0017156591638922691,0.0019060960039496422,0.00793654378503561,0.013087062165141106
35,train,0.02061419066687123,0.02061419078010194,,,0.007490972056984901,0.007195711601525545,0.012313411571085453,0.01849028840661049
35,val,0.01982826519882063,0.019828264819497756,0.005390964729789023,0.10645207017660141,0.0015955367125570774,0.0015773649793118238,0.007522108033299446,0.012910675257444382
36,train,0.019873490449505374,0.019873490913751277,,,0.002943028463050723,0.0028792826924473047,0.0036975222174078226,0.009806332178413868
36,val,0.01985158782599545,0.019851587514611,0.005296695123737057,0.10718096047639847,0.0019930130802094936,0.001562497578561306,0.0073582823388278484,0.012528367340564728
37,train,0.019704399862550313,0.019704399035966144,,,0.0032779125031083822,0.005334024783223867,0.005650348961353302,0.011089890263974667
37,val,0.019398935660040487,0.019398935852532693,0.0051291513664182276,0.10501763969659805,0.0017377824988216162,0.0014186829794198275,0.007582026068121195,0.012188703753054142
38,train,0.01947414657627558,0.019474146313014182,,,0.0029774056747555733,0.004997976124286652,0.005213583819568157,0.005205896217375994
38,val,0.018688613158228912,0.018688613192198125,0.00468193525254416,0.10272867977619171,0.0015667101833969355,0.0014480577083304524,0.007258006837219,0.012053588405251503
39,train,0.018671064753662852,0.018671064736678244,,,0.005547451786696911,0.0055171167477965355,0.007002778351306915,0.011293021962046623
39,val,0.019122698024413506,0.01912269804705965,0.004811497657404591,0.1049899011850357,0.0020728835370391607,0.0014706653309985995,0.007904375903308392,0.011888766661286354
40,train,0.019214569254124417,0.019214569531539653,,,0.004312391392886639,0.006130823399871588,0.013581879436969757,0.012516636401414871
40,val,0.01830887504624016,0.018308875606732167,0.00440045459739243,0.1017593964934349,0.0014392734738066792,0.0012094274861738086,0.0073050386272370815,0.011740208603441715
41,train,0.018561258323286804,0.018561258723840436,,,0.002284666057676077,0.002109395107254386,0.002650321228429675,0.003282873658463359
41,val,0.018763596526032884,0.018763596826094263,0.004135214384101952,0.10653388500213623,0.001410469296388328,0.0012820815900340676,0.007270649541169405,0.01155603863298893
42,train,0.01838919384501263,0.018389193816704952,,,0.0052643511444330215,0.0050104823894798756,0.0051194229163229465,0.005529381334781647
42,val,0.01867431710193947,0.01867431766809301,0.004617802449502051,0.10301340371370316,0.0025777427945286036,0.001634003478102386,0.007583240047097206,0.011770522221922874
43,train,0.018479392158948903,0.01847939244768721,,,0.0050603048875927925,0.004400086123496294,0.004027459304779768,0.004000629298388958
43,val,0.018046224733254106,0.018046225440946032,0.004503441683482379,0.09930291771888733,0.0014507975429296494,0.0015151475090533495,0.0074728247709572315,0.011674941517412663
44,train,0.018078877933119568,0.018078878482288504,,,0.004183255601674318,0.004550539422780275,0.004874641075730324,0.010415682569146156
44,val,0.018232073827355103,0.018232073951908883,0.004328226641518995,0.10165515542030334,0.0014778133481740952,0.001533989910967648,0.007017169147729874,0.011401902884244919
45,train,0.018461348800311334,0.018461348370034644,,,0.002869579941034317,0.005596182309091091,0.0071508572436869144,0.006853502709418535
45,val,0.017209837139558648,0.017209837490573844,0.004067531874170527,0.09606365114450455,0.0012603370705619454,0.0010404984932392836,0.007123981602489948,0.011423266492784023
46,train,0.01718070659231632,0.017180707107516045,,,0.004838200751692057,0.004824111238121986,0.004619761370122433,0.0054925368167459965
46,val,0.018249929857109094,0.01824992962498614,0.004299564228858799,0.10195212811231613,0.001264976104721427,0.0016695786034688354,0.007694471161812544,0.012239651754498482
47,train,0.017977341330160122,0.01797734133582166,,,0.001961827976629138,0.0028437823057174683,0.010081063956022263,0.009281127713620663
