epoch,split,loss,action_mse,continuous_mse,gripper_mse,gripper_sign_accuracy,gripper_open_accuracy,gripper_close_accuracy,gripper_transition_f1,action_correlation,continuous_correlation,gripper_correlation,grad_norm,action_head_update_norm,pred_variance,target_variance,residual_dim0,pred_var_dim0,target_var_dim0,residual_dim1,pred_var_dim1,target_var_dim1,residual_dim2,pred_var_dim2,target_var_dim2,residual_dim3,pred_var_dim3,target_var_dim3,residual_dim4,pred_var_dim4,target_var_dim4,residual_dim5,pred_var_dim5,target_var_dim5,residual_dim6,pred_var_dim6,target_var_dim6
0,eval,,0.2614571154117584,0.08281108736991882,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.2966361343860626,0.4062030017375946,nan,,,0.1347297579050064,0.22385264933109283,-0.16129572689533234,0.004492964595556259,0.10770059376955032,-0.0508929081261158,0.004586189053952694,0.06782600283622742,0.1322055160999298,0.004202163778245449,0.2797382175922394,0.022139661014080048,0.003303456585854292,0.0010034433798864484,0.0004419703036546707,0.0038261222653090954,0.010597898624837399,-0.07133392244577408,0.005537661258131266,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
1,eval,,0.2503811717033386,0.0698891431093216,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3520275354385376,0.5344802141189575,nan,,,0.14351332187652588,0.22385264933109283,-0.04273600876331329,0.005991614423692226,0.10770059376955032,0.03358748182654381,0.0051756384782493114,0.06782600283622742,-0.025411292910575867,0.006820450071245432,0.2797382175922394,-0.02690427005290985,0.0036250371485948563,0.0010034433798864484,0.03632497414946556,0.0041232542134821415,0.010597898624837399,0.03017391450703144,0.0055835433304309845,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
2,eval,,0.24977609515190125,0.06918322294950485,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3808012306690216,0.5590324401855469,nan,,,0.1563549041748047,0.22385264933109283,0.05970439687371254,0.0076949638314545155,0.10770059376955032,0.0768154188990593,0.006268617231398821,0.06782600283622742,-0.10895399004220963,0.01093378011137247,0.2797382175922394,-0.030833644792437553,0.004239335190504789,0.0010034433798864484,0.02392273209989071,0.004681592341512442,0.010597898624837399,0.08115794509649277,0.005666793789714575,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
3,eval,,0.22773119807243347,0.06429753452539444,1.2083333730697632,0.6979166865348816,1.0,0.09375,0.0,0.4418572187423706,0.5988345146179199,0.2540002465248108,,,0.16181537508964539,0.22385264933109283,0.09217432886362076,0.009370986372232437,0.10770059376955032,0.06238999962806702,0.007823484018445015,0.06782600283622742,-0.1099739745259285,0.0159121286123991,0.2797382175922394,-0.006721314042806625,0.0047179958783090115,0.0010034433798864484,-0.003548448206856847,0.005175191443413496,0.010597898624837399,0.07035761326551437,0.005959298461675644,0.0008835040498524904,0.6041666865348816,0.12109375,0.8888888955116272
4,eval,,0.14850084483623505,0.05519543215632439,0.7083333134651184,0.8229166865348816,1.0,0.46875,0.0,0.6355196237564087,0.6610836982727051,0.608580470085144,,,0.16622735559940338,0.22385264933109283,0.07108061760663986,0.011569484136998653,0.10770059376955032,0.025644103065133095,0.009876126423478127,0.06782600283622742,-0.060435086488723755,0.02217298187315464,0.2797382175922394,0.020715398713946342,0.005015497095882893,0.0010034433798864484,-0.015999801456928253,0.005604203790426254,0.010597898624837399,0.025086289271712303,0.007027457468211651,0.0008835040498524904,0.3541666567325592,0.52734375,0.8888888955116272
5,eval,,0.06393842399120331,0.046817049384117126,0.1666666716337204,0.9583333134651184,1.0,0.875,0.2857142857142857,0.8461595773696899,0.7353067398071289,0.9074851274490356,,,0.16799196600914001,0.22385264933109283,0.02336672879755497,0.015658169984817505,0.10770059376955032,-0.006439668592065573,0.013016823679208755,0.06782600283622742,0.003923177719116211,0.03370600566267967,0.2797382175922394,0.032762348651885986,0.0053781913593411446,0.0010034433798864484,-0.0027451280038803816,0.006057674065232277,0.010597898624837399,-0.019075043499469757,0.00930679403245449,0.0008835040498524904,0.0833333358168602,0.8263888955116272,0.8888888955116272
6,eval,,0.03479369357228279,0.04059264436364174,0.0,1.0,1.0,1.0,1.0,0.9203567504882812,0.7888985872268677,0.9999997615814209,,,0.1696481853723526,0.22385264933109283,-0.0294928178191185,0.024324575439095497,0.10770059376955032,-0.01749943383038044,0.01701686903834343,0.06782600283622742,0.05020299553871155,0.05827896296977997,0.2797382175922394,0.022358084097504616,0.005843122024089098,0.0010034433798864484,0.017504138872027397,0.006701773498207331,0.010597898624837399,-0.034235287457704544,0.01104036346077919,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
7,eval,,0.030363809317350388,0.03542443737387657,0.0,1.0,1.0,1.0,1.0,0.9306128025054932,0.81195467710495,0.9999997615814209,,,0.1771521270275116,0.22385264933109283,-0.052567433565855026,0.03735087811946869,0.10770059376955032,-0.010270170867443085,0.022041143849492073,0.06782600283622742,0.06006994470953941,0.10303747653961182,0.2797382175922394,0.0005204733461141586,0.006271931808441877,0.0010034433798864484,0.01673332415521145,0.007432687096297741,0.010597898624837399,-0.013946261256933212,0.009443364106118679,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
8,eval,,0.026809334754943848,0.03127755597233772,0.0,1.0,1.0,1.0,1.0,0.9382975101470947,0.8256441950798035,0.9999997615814209,,,0.1927001178264618,0.22385264933109283,-0.03254459425806999,0.050400421023368835,0.10770059376955032,-0.0031014878768473864,0.029759513214230537,0.06782600283622742,0.00847769808024168,0.16129732131958008,0.2797382175922394,-0.008565730415284634,0.0059999749064445496,0.0010034433798864484,-0.013852783478796482,0.008762381970882416,0.010597898624837399,0.024904608726501465,0.006303553003817797,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
9,eval,,0.025641240179538727,0.02991478703916073,0.0,1.0,1.0,1.0,1.0,0.9417361617088318,0.8391655087471008,0.9999997615814209,,,0.21416378021240234,0.22385264933109283,0.03308464214205742,0.05505512282252312,0.10770059376955032,0.006218895316123962,0.04152575507760048,0.06782600283622742,-0.07806635648012161,0.21791712939739227,0.2797382175922394,-0.007740882690995932,0.006064604502171278,0.0010034433798864484,-0.01773954927921295,0.009924029000103474,0.010597898624837399,0.03303336352109909,0.0063425833359360695,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
10,eval,,0.025174248963594437,0.029369954019784927,0.0,1.0,1.0,1.0,1.0,0.9451005458831787,0.8567480444908142,0.9999997615814209,,,0.23122230172157288,0.22385264933109283,0.0901922956109047,0.05646442249417305,0.10770059376955032,-0.007343032862991095,0.049231044948101044,0.06782600283622742,-0.14092129468917847,0.25401148200035095,0.2797382175922394,-0.015700407326221466,0.005893775261938572,0.0010034433798864484,0.012458001263439655,0.011251149699091911,0.010597898624837399,-0.0198742114007473,0.006645848974585533,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
11,eval,,0.020625261589884758,0.024062804877758026,0.0,1.0,1.0,1.0,1.0,0.9557094573974609,0.8850764036178589,0.9999997615814209,,,0.23298859596252441,0.22385264933109283,0.061462949961423874,0.061834245920181274,0.10770059376955032,-0.016450783237814903,0.05326405167579651,0.06782600283622742,-0.12794537842273712,0.27635717391967773,0.2797382175922394,0.005282230209559202,0.005550834350287914,0.0010034433798864484,0.009445283561944962,0.012806382961571217,0.010597898624837399,-0.05388839170336723,0.005463168025016785,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
12,eval,,0.014346149750053883,0.01673717238008976,0.0,1.0,1.0,1.0,1.0,0.9679518342018127,0.9139353632926941,0.9999997615814209,,,0.2228993922472,0.22385264933109283,-0.023041652515530586,0.06899237632751465,0.10770059376955032,0.023297837004065514,0.059182941913604736,0.06782600283622742,-0.041955236345529556,0.2819898724555969,0.2797382175922394,0.002091379836201668,0.0051239426247775555,0.0010034433798864484,0.005138703156262636,0.014216811396181583,0.010597898624837399,-0.0023398592602461576,0.005055971909314394,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
