epoch,split,loss,action_mse,continuous_mse,gripper_mse,gripper_sign_accuracy,gripper_open_accuracy,gripper_close_accuracy,gripper_transition_f1,action_correlation,continuous_correlation,gripper_correlation,grad_norm,action_head_update_norm,pred_variance,target_variance,residual_dim0,pred_var_dim0,target_var_dim0,residual_dim1,pred_var_dim1,target_var_dim1,residual_dim2,pred_var_dim2,target_var_dim2,residual_dim3,pred_var_dim3,target_var_dim3,residual_dim4,pred_var_dim4,target_var_dim4,residual_dim5,pred_var_dim5,target_var_dim5,residual_dim6,pred_var_dim6,target_var_dim6
0,train,0.7910764614741007,0.36952996253967285,0.20889608561992645,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3436766564846039,0.4036979079246521,nan,3.1701283890688514,0.05266678333282471,0.3269573152065277,0.22385264933109283,0.2192552536725998,0.0022265936713665724,0.10770059376955032,0.5826742649078369,0.0015403012512251735,0.06782600283622742,-0.39712491631507874,0.008221633732318878,0.2797382175922394,-0.24649126827716827,0.0012853307416662574,0.0010034433798864484,-0.41378119587898254,0.0004926056717522442,0.010597898624837399,0.06739537417888641,0.0011868657311424613,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
0,eval,,0.36952999234199524,0.20889611542224884,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3436766564846039,0.4036979675292969,nan,,,0.3269573152065277,0.22385264933109283,0.2192552536725998,0.002226593904197216,0.10770059376955032,0.5826743245124817,0.0015403013676404953,0.06782600283622742,-0.39712488651275635,0.008221633732318878,0.2797382175922394,-0.24649126827716827,0.0012853307416662574,0.0010034433798864484,-0.41378116607666016,0.0004926057299599051,0.010597898624837399,0.06739538162946701,0.0011868657311424613,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
1,train,0.8536333839098612,0.28173136711120605,0.10646436363458633,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3499181568622589,0.4260501265525818,nan,2.686977122466405,0.02933558262884617,0.20088018476963043,0.22385264933109283,-0.10153486579656601,0.006078341975808144,0.10770059376955032,0.27143874764442444,0.008739844895899296,0.06782600283622742,-0.24119703471660614,0.010188371874392033,0.2797382175922394,0.022138088941574097,0.0009045277838595212,0.0010034433798864484,0.10366829484701157,0.00040026611532084644,0.010597898624837399,-0.20665740966796875,0.001294540474191308,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
1,eval,,0.28173136711120605,0.10646436363458633,1.3333333730697632,0.6666666865348816,1.0,0.0,0.0,0.3499181568622589,0.42605021595954895,nan,,,0.20088018476963043,0.22385264933109283,-0.1015348806977272,0.006078341975808144,0.10770059376955032,0.27143874764442444,0.008739844895899296,0.06782600283622742,-0.24119704961776733,0.010188372805714607,0.2797382175922394,0.022138087078928947,0.0009045277838595212,0.0010034433798864484,0.10366829484701157,0.00040026617352850735,0.010597898624837399,-0.20665740966796875,0.0012945403577759862,0.0008835040498524904,0.6666666865348816,0.0,0.8888888955116272
2,train,0.6113678018252054,0.09371787309646606,0.10239305347204208,0.0416666679084301,0.9895833134651184,1.0,0.96875,1.0,0.7687397599220276,0.19636470079421997,0.9766505360603333,1.3450223175038414,0.02461916394531727,0.16101114451885223,0.22385264933109283,-0.16013102233409882,0.008160955272614956,0.10770059376955032,-0.3570692539215088,0.024873221293091774,0.06782600283622742,0.11275587230920792,0.009225225076079369,0.2797382175922394,0.12559397518634796,0.0031444071792066097,0.0010034433798864484,0.10520980507135391,0.0008303642389364541,0.010597898624837399,-0.03806668147444725,0.0017729232786223292,0.0008835040498524904,0.02083333395421505,0.8745659589767456,0.8888888955116272
2,eval,,0.09371787309646606,0.10239306092262268,0.0416666679084301,0.9895833134651184,1.0,0.96875,1.0,0.7687397003173828,0.19636471569538116,0.9766502380371094,,,0.16101114451885223,0.22385264933109283,-0.16013103723526,0.008160955272614956,0.10770059376955032,-0.3570692837238312,0.024873221293091774,0.06782600283622742,0.11275587230920792,0.009225225076079369,0.2797382175922394,0.12559397518634796,0.0031444071792066097,0.0010034433798864484,0.10520979762077332,0.0008303641225211322,0.010597898624837399,-0.03806668147444725,0.001772923395037651,0.0008835040498524904,0.02083333395421505,0.8745659589767456,0.8888888955116272
3,train,0.6040408809979757,0.10444541275501251,0.12185295671224594,0.0,1.0,1.0,1.0,1.0,0.7432738542556763,0.08940640091896057,1.0,2.2153764305539263,0.01701885089278221,0.16438749432563782,0.22385264933109283,-0.008681639097630978,0.012497714720666409,0.10770059376955032,-0.3779694139957428,0.04157000407576561,0.06782600283622742,0.3607760965824127,0.0117817847058177,0.2797382175922394,-0.019525952637195587,0.007397557143121958,0.0010034433798864484,0.08387825638055801,0.0014502489939332008,0.010597898624837399,0.2205275297164917,0.004679195117205381,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
3,eval,,0.10444539785385132,0.12185297906398773,0.0,1.0,1.0,1.0,1.0,0.7432737350463867,0.08940640836954117,0.9999997615814209,,,0.16438749432563782,0.22385264933109283,-0.00868163537234068,0.012497714720666409,0.10770059376955032,-0.3779694139957428,0.04157000407576561,0.06782600283622742,0.3607760965824127,0.0117817847058177,0.2797382175922394,-0.019525958225131035,0.007397557608783245,0.0010034433798864484,0.08387827128171921,0.0014502489939332008,0.010597898624837399,0.2205275446176529,0.004679195117205381,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
4,train,0.5580871303876241,0.1556682139635086,0.09827957302331924,0.5,0.875,1.0,0.625,0.8648648648648648,0.6294125318527222,0.3454873263835907,0.7254762649536133,2.605034807754798,0.013893699273467064,0.14753946661949158,0.22385264933109283,0.08111752569675446,0.020165400579571724,0.10770059376955032,-0.1401091367006302,0.06191818788647652,0.06782600283622742,0.3883930742740631,0.01869712956249714,0.2797382175922394,-0.015209761448204517,0.01318835373967886,0.0010034433798864484,0.09634417295455933,0.0023904284462332726,0.010597898624837399,0.1390254944562912,0.009361318312585354,0.0008835040498524904,0.25,0.6597222089767456,0.8888888955116272
4,eval,,0.1556682139635086,0.09827958047389984,0.5,0.875,1.0,0.625,0.0,0.6294125318527222,0.3454872965812683,0.7254762053489685,,,0.14753946661949158,0.22385264933109283,0.08111751824617386,0.020165398716926575,0.10770059376955032,-0.1401091367006302,0.06191818416118622,0.06782600283622742,0.3883931338787079,0.01869712769985199,0.2797382175922394,-0.01520975586026907,0.013188352808356285,0.0010034433798864484,0.09634416550397873,0.002390428679063916,0.010597898624837399,0.13902547955513,0.009361318312585354,0.0008835040498524904,0.25,0.6597222089767456,0.8888888955116272
5,train,0.471074640750885,0.1420816034078598,0.06853966414928436,0.5833333134651184,0.8541666865348816,1.0,0.5625,0.7777777777777778,0.6629589796066284,0.5924795269966125,0.6793662309646606,2.5532845241642024,0.015125947538763285,0.1906079202890396,0.22385264933109283,-0.028247512876987457,0.027094846591353416,0.10770059376955032,0.10223966836929321,0.09565242379903793,0.06782600283622742,-0.06469667702913284,0.039604201912879944,0.2797382175922394,-0.02735033445060253,0.02685396932065487,0.0010034433798864484,0.02721560187637806,0.0028701848350465298,0.010597898624837399,-0.02917175181210041,0.010300891473889351,0.0008835040498524904,0.2916666567325592,0.609375,0.8888888955116272
5,eval,,0.1420816034078598,0.06853964924812317,0.5833333134651184,0.8541666865348816,1.0,0.5625,0.0,0.6629589796066284,0.5924795866012573,0.6793661117553711,,,0.1906079351902008,0.22385264933109283,-0.028247520327568054,0.027094846591353416,0.10770059376955032,0.10223966836929321,0.09565242379903793,0.06782600283622742,-0.06469667702913284,0.039604201912879944,0.2797382175922394,-0.02735033631324768,0.02685397118330002,0.0010034433798864484,0.027215605601668358,0.0028701848350465298,0.010597898624837399,-0.029171748086810112,0.010300891473889351,0.0008835040498524904,0.2916666567325592,0.609375,0.8888888955116272
6,train,0.3900492191314697,0.1021108627319336,0.11912933737039566,0.0,1.0,1.0,1.0,1.0,0.8154942989349365,0.5743549466133118,1.0000001192092896,1.8079026248421421,0.012855087406933308,0.2793559432029724,0.22385264933109283,-0.11675748974084854,0.03250737860798836,0.10770059376955032,0.23813439905643463,0.13513696193695068,0.06782600283622742,-0.4315166771411896,0.07166588306427002,0.2797382175922394,-0.03565822169184685,0.04795144870877266,0.0010034433798864484,-0.09965146332979202,0.002338186837732792,0.010597898624837399,-0.1301780492067337,0.007335679139941931,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
6,eval,,0.1021108627319336,0.11912935227155685,0.0,1.0,1.0,1.0,1.0,0.8154942393302917,0.5743550062179565,0.9999997615814209,,,0.2793559432029724,0.22385264933109283,-0.11675748229026794,0.03250737860798836,0.10770059376955032,0.23813442885875702,0.13513696193695068,0.06782600283622742,-0.4315166473388672,0.07166588306427002,0.2797382175922394,-0.03565821051597595,0.04795144870877266,0.0010034433798864484,-0.09965145587921143,0.0023381870705634356,0.010597898624837399,-0.1301780492067337,0.007335679605603218,0.0008835040498524904,0.0,0.8888888955116272,0.8888888955116272
7,train,0.32262279589970905,0.09090565145015717,0.09911215305328369,0.0416666679084301,0.9895833134651184,0.984375,1.0,0.972972972972973,0.8149898648262024,0.5833316445350647,0.9770083427429199,1.81999456979351,0.012998187448829412,0.2574211061000824,0.22385264933109283,-0.006065579131245613,0.037696171551942825,0.10770059376955032,0.17046822607517242,0.17076456546783447,0.06782600283622742,-0.16651417315006256,0.15732160210609436,0.2797382175922394,0.04588879644870758,0.07463276386260986,0.0010034433798864484,-0.12278324365615845,0.002150229411199689,0.010597898624837399,-0.1113235279917717,0.009304242208600044,0.0008835040498524904,-0.02083333395421505,0.90234375,0.8888888955116272
7,eval,,0.09090566635131836,0.0991121232509613,0.0416666679084301,0.9895833134651184,0.984375,1.0,1.0,0.8149899840354919,0.5833316445350647,0.9770082831382751,,,0.2574211061000824,0.22385264933109283,-0.00606558145955205,0.037696171551942825,0.10770059376955032,0.17046822607517242,0.17076456546783447,0.06782600283622742,-0.16651415824890137,0.15732160210609436,0.2797382175922394,0.04588880017399788,0.07463276386260986,0.0010034433798864484,-0.12278324365615845,0.002150229411199689,0.010597898624837399,-0.1113235354423523,0.009304242208600044,0.0008835040498524904,-0.02083333395421505,0.90234375,0.8888888955116272
8,train,0.22494296729564667,0.1098073422908783,0.11421965062618256,0.0833333358168602,0.9791666865348816,0.96875,1.0,0.9574468085106383,0.7681068181991577,0.4967425763607025,0.9548637866973877,1.2632687529798259,0.01608261000365019,0.2436559796333313,0.22385264933109283,0.07624178379774094,0.046206772327423096,0.10770059376955032,-0.015057488344609737,0.20419971644878387,0.06782600283622742,0.2283637970685959,0.3275226652622223,0.2797382175922394,-0.011769776232540607,0.07513757795095444,0.0010034433798864484,-0.023233413696289062,0.0015168972313404083,0.010597898624837399,0.01642099767923355,0.01485319435596466,0.0008835040498524904,-0.0416666679084301,0.9149305820465088,0.8888888955116272
8,eval,,0.1098073348402977,0.11421966552734375,0.0833333358168602,0.9791666865348816,0.96875,1.0,1.0,0.7681068181991577,0.4967426061630249,0.9548636078834534,,,0.2436559796333313,0.22385264933109283,0.07624177634716034,0.046206772327423096,0.10770059376955032,-0.015057484619319439,0.20419971644878387,0.06782600283622742,0.2283637970685959,0.3275226652622223,0.2797382175922394,-0.011769779026508331,0.07513757795095444,0.0010034433798864484,-0.023233411833643913,0.0015168973477557302,0.010597898624837399,0.016420992091298103,0.01485319435596466,0.0008835040498524904,-0.0416666679084301,0.9149305820465088,0.8888888955116272
9,train,0.16486190259456635,0.1222946047782898,0.12878815829753876,0.0833333358168602,0.9791666865348816,0.96875,1.0,0.9736842105263158,0.7477374076843262,0.46292945742607117,0.9548636078834534,1.3768545047136278,0.018434790894389153,0.2541072368621826,0.22385264933109283,-0.0032316651195287704,0.05390557274222374,0.10770059376955032,-0.10917442291975021,0.1810147762298584,0.06782600283622742,0.28746938705444336,0.4805242121219635,0.2797382175922394,-0.13418251276016235,0.0349719263613224,0.0010034433798864484,0.108942411839962,0.0026730054523795843,0.010597898624837399,0.11392810195684433,0.011486430652439594,0.0008835040498524904,-0.0416666679084301,0.9149305820465088,0.8888888955116272
9,eval,,0.12229461967945099,0.12878817319869995,0.0833333358168602,0.9791666865348816,0.96875,1.0,1.0,0.7477372884750366,0.46292948722839355,0.9548636078834534,,,0.2541072368621826,0.22385264933109283,-0.003231660695746541,0.05390557274222374,0.10770059376955032,-0.10917443037033081,0.1810147762298584,0.06782600283622742,0.28746938705444336,0.4805242121219635,0.2797382175922394,-0.13418249785900116,0.0349719263613224,0.0010034433798864484,0.108942411839962,0.0026730054523795843,0.010597898624837399,0.11392810195684433,0.01148642972111702,0.0008835040498524904,-0.0416666679084301,0.9149305820465088,0.8888888955116272
10,train,0.13407732297976813,0.08484648168087006,0.08509867638349533,0.0833333358168602,0.9791666865348816,0.96875,1.0,0.9655172413793104,0.8147857189178467,0.588575005531311,0.9548636674880981,1.8594749857653983,0.02156408503651619,0.2336413860321045,0.22385264933109283,-0.11621399968862534,0.055554963648319244,0.10770059376955032,-0.10683459788560867,0.08434638381004333,0.06782600283622742,0.07323389500379562,0.44021323323249817,0.2797382175922394,-0.0755586251616478,0.0013054264709353447,0.0010034433798864484,0.1505620777606964,0.008816084824502468,0.010597898624837399,0.08024077862501144,0.002316845580935478,0.0008835040498524904,-0.0416666679084301,0.9149305820465088,0.8888888955116272
10,eval,,0.08484648168087006,0.08509867638349533,0.0833333358168602,0.9791666865348816,0.96875,1.0,1.0,0.8147856593132019,0.5885749459266663,0.9548636078834534,,,0.2336413860321045,0.22385264933109283,-0.11621399968862534,0.055554963648319244,0.10770059376955032,-0.10683461278676987,0.08434639126062393,0.06782600283622742,0.07323386520147324,0.44021323323249817,0.2797382175922394,-0.0755586251616478,0.0013054265873506665,0.0010034433798864484,0.1505620777606964,0.008816084824502468,0.010597898624837399,0.08024077862501144,0.002316845813766122,0.0008835040498524904,-0.0416666679084301,0.9149305820465088,0.8888888955116272
