run_id,model,split,trajectory_id,time_index,target_action_index,horizon,expert_action,pred_action,expert_action_norm,pred_action_norm,expert_gripper,pred_gripper,cosine_similarity,per_dimension_error,squared_error
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,3,4,0,"[0.5062500238418579, 0.17142857611179352, 0.02946428582072258, -0.020357143133878708, 0.007499999832361937, -0.0, -1.0]","[0.5403590798377991, 0.17703558504581451, 0.043422553688287735, -0.03270469605922699, 0.016684480011463165, -0.011205852031707764, -1.0224840641021729]",1.134467125,1.171393275,-1,-1.022484064,0.9996635914,"[0.03410905599594116, 0.005607008934020996, 0.013958267867565155, -0.012347552925348282, 0.009184479713439941, -0.011205852031707764, -0.02248406410217285]",0.0003225172404
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,3,5,1,"[0.6053571701049805, 0.1741071492433548, 0.02946428582072258, -0.02250000089406967, 0.013928571715950966, -0.0, -1.0]","[0.6301032304763794, 0.17429643869400024, 0.04634485021233559, -0.014685440808534622, 0.02020322158932686, -0.013275135308504105, -1.0133917331695557]",1.182513833,1.207195044,-1,-1.013391733,0.9997393489,"[0.024746060371398926, 0.00018928945064544678, 0.016880564391613007, 0.00781456008553505, 0.006274649873375893, -0.013275135308504105, -0.013391733169555664]",0.0001933375897
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,3,6,2,"[0.6803571581840515, 0.16339285671710968, -0.0, -0.025714285671710968, 0.0053571430034935474, -0.0, -1.0]","[0.6758726835250854, 0.1681446135044098, 0.03873100131750107, -0.023435991257429123, -0.0006876252591609955, -0.0044042691588401794, -1.0145164728164673]",1.220767379,1.231417656,-1,-1.014516473,0.9994341731,"[-0.0044844746589660645, 0.00475175678730011, 0.03873100131750107, 0.002278294414281845, -0.006044768262654543, -0.0044042691588401794, -0.014516472816467285]",0.0002592336677
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,3,7,3,"[0.6991071701049805, 0.14464285969734192, -0.0, -0.017142856493592262, 0.0, -0.0, -1.0]","[0.7093130946159363, 0.14263369143009186, 0.025269750505685806, -0.0061243511736392975, 0.006525754928588867, 0.002649366855621338, -1.0433428287506104]",1.228806853,1.269944668,-1,-1.043342829,0.9996462464,"[0.01020592451095581, -0.002009168267250061, 0.025269750505685806, 0.011018505319952965, 0.006525754928588867, 0.002649366855621338, -0.04334282875061035]",0.0003994815343
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,4,5,0,"[0.6053571701049805, 0.1741071492433548, 0.02946428582072258, -0.02250000089406967, 0.013928571715950966, -0.0, -1.0]","[0.6098259687423706, 0.17907650768756866, 0.03779023513197899, -0.029714733362197876, 0.01587119698524475, -0.008163020014762878, -1.0463358163833618]",1.182513833,1.225318074,-1,-1.046335816,0.9998098016,"[0.004468798637390137, 0.004969358444213867, 0.008325949311256409, -0.007214732468128204, 0.001942625269293785, -0.008163020014762878, -0.046335816383361816]",0.0003404935705
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,4,6,1,"[0.6803571581840515, 0.16339285671710968, -0.0, -0.025714285671710968, 0.0053571430034935474, -0.0, -1.0]","[0.6759791374206543, 0.16781887412071228, 0.0265347920358181, -0.009444396942853928, 0.013318431563675404, -0.019923511892557144, -1.0304808616638184]",1.220767379,1.244334936,-1,-1.030480862,0.9993937612,"[-0.004378020763397217, 0.0044260174036026, 0.0265347920358181, 0.01626988872885704, 0.007961288094520569, -0.019923511892557144, -0.03048086166381836]",0.0003424246679
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,4,7,2,"[0.6991071701049805, 0.14464285969734192, -0.0, -0.017142856493592262, 0.0, -0.0, -1.0]","[0.6987040042877197, 0.1507856696844101, 0.004548926837742329, -0.016940820962190628, 0.0019500590860843658, -0.005018077790737152, -1.0652077198028564]",1.228806853,1.282937169,-1,-1.06520772,0.9995529652,"[-0.0004031658172607422, 0.006142809987068176, 0.004548926837742329, 0.00020203553140163422, 0.0019500590860843658, -0.005018077790737152, -0.06520771980285645]",0.0006199515192
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,4,8,3,"[0.7044642567634583, 0.11785714328289032, -0.02946428582072258, -0.003214285708963871, 0.0, -0.0, -1.0]","[0.7213056683540344, 0.12234432995319366, -0.023919744417071342, -0.005970057100057602, 0.006066817790269852, -0.0025407075881958008, -1.0747382640838623]",1.229243159,1.300370455,-1,-1.074738264,0.9997146726,"[0.016841411590576172, 0.004487186670303345, 0.0055445414036512375, -0.002755771391093731, 0.006066817790269852, -0.0025407075881958008, -0.0747382640838623]",0.0008530248888
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,5,6,0,"[0.6803571581840515, 0.16339285671710968, -0.0, -0.025714285671710968, 0.0053571430034935474, -0.0, -1.0]","[0.6708487868309021, 0.16884656250476837, 0.027006927877664566, -0.018981870263814926, 0.01386658102273941, -0.009123235940933228, -1.028648853302002]",1.220767379,1.240173817,-1,-1.028648853,0.9995063543,"[-0.009508371353149414, 0.005453705787658691, 0.027006927877664566, 0.006732415407896042, 0.00850943848490715, -0.009123235940933228, -0.028648853302001953]",0.0002673217678
20260529_wam_gru_no_future_single_demo_overfit_lr0p001_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,5,7,1,"[0.6991071701049805, 0.14464285969734192, -0.0, -0.017142856493592262, 0.0, -0.0, -1.0]","[0.7042062878608704, 0.15191954374313354, 0.0032100193202495575, -0.007683556526899338, 0.00629135686904192, -0.02640080824494362, -1.0246679782867432]",1.228806853,1.252891302,-1,-1.024667978,0.9996933341,"[0.005099117755889893, 0.007276684045791626, 0.0032100193202495575, 0.009459299966692924, 0.00629135686904192, -0.02640080824494362, -0.024667978286743164]",0.0002176895359
