epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
0,train_single_demo,0.36862426,0.36862426,raw_action_units,0.9984717766,0.9984717766,5.474946976,"[1.0217579603, 0.9784285426, 0.9972677231, 0.9964332581]","[5.5254273415, 5.4382338524, 5.4653906822, 5.4707350731]","[0.0841761157, 0.1039183512, 0.0885015801, 0.0901597142]","[0.0491201244, 0.0448399, 0.1181449592, 0.0492231548, 0.04402842, 0.0337919183, 0.3026740253]",0,0.3686242387,raw_action_units,2,96,769564,769564,true
0,eval_same_demo_teacher_forced,0.2348129352,0.2348129352,raw_action_units,0.977388978,0.977388978,5.42110316,"[0.9991304874, 0.9569070935, 0.981466949, 0.9720513821]","[5.462656498, 5.3933939934, 5.4279956818, 5.4003639221]","[0.0508060455, 0.0421926379, 0.0617234595, 0.0579755865]","[0.031229848, 0.0669889525, 0.0597267561, 0.017890254, 0.0209598467, 0.0130462945, 0.1623790413]",0,0.2348129182,raw_action_units,2,96,769564,769564,true
1,train_single_demo,0.2282016178,0.2282016178,raw_action_units,0.9788150589,0.9788150589,5.41937542,"[0.9999544024, 0.9561411738, 0.982537806, 0.976626873]","[5.4600815773, 5.385945797, 5.4253468513, 5.4061264992]","[0.0860524103, 0.0796356425, 0.0729143694, 0.0834353268]","[0.0467215814, 0.0590142608, 0.1000594199, 0.0085473349, 0.0153673962, 0.0103523526, 0.3235037029]",0,0.228201605,raw_action_units,2,96,769564,769564,true
1,eval_same_demo_teacher_forced,0.205627501,0.205627501,raw_action_units,0.9839516083,0.9839516083,5.404984792,"[1.0018538237, 0.9536625743, 0.9921378493, 0.9881524444]","[5.4408893585, 5.353105545, 5.418035984, 5.407907486]","[0.0407225788, 0.0574828275, 0.0502964854, 0.0499353521]","[0.0285084527, 0.0360027179, 0.0535563417, 0.0156277493, 0.0069172424, 0.004612803, 0.2020398527]",0,0.2056274953,raw_action_units,2,96,769564,769564,true
2,train_single_demo,0.2021084279,0.2021084279,raw_action_units,0.9843410651,0.9843410651,5.402945677,"[1.0029469728, 0.9549369216, 0.9932074547, 0.9862730503]","[5.4398841858, 5.3530063629, 5.4168419838, 5.402048111]","[0.0572797991, 0.0574746877, 0.0612615049, 0.0732707754]","[0.0390229896, 0.0178102534, 0.0785994157, 0.0079186484, 0.0100285867, 0.0050724554, 0.2777994573]",0,0.2021084229,raw_action_units,2,96,769564,769564,true
2,eval_same_demo_teacher_forced,0.1813479563,0.1813479563,raw_action_units,0.9879261653,0.9879261653,5.400582314,"[1.0051053762, 0.9671570659, 0.9949271083, 0.9845154285]","[5.4371089935, 5.3673210144, 5.4100584984, 5.3878397942]","[0.0374495275, 0.0338596925, 0.0461414345, 0.0482598208]","[0.0250276644, 0.0342748575, 0.03287277, 0.0056977156, 0.0128116338, 0.0091530131, 0.1701556593]",0,0.1813479463,raw_action_units,2,96,769564,769564,true
3,train_single_demo,0.1800691038,0.1800691038,raw_action_units,0.9870765408,0.9870765408,5.396902561,"[1.0039254427, 0.9664829373, 0.9935340881, 0.9843637347]","[5.4329051971, 5.3647351265, 5.405318737, 5.3846511841]","[0.0597821325, 0.0589952804, 0.0590191074, 0.0614680462]","[0.0335087143, 0.0216718763, 0.0860824957, 0.0078288103, 0.0065766401, 0.0020956991, 0.2609487474]",0,0.1800690946,raw_action_units,2,96,769564,769564,true
3,eval_same_demo_teacher_forced,0.1677724222,0.1677724222,raw_action_units,0.9837092161,0.9837092161,5.380523841,"[0.9993864894, 0.9649832845, 0.9838802218, 0.9865867496]","[5.4149327278, 5.3537507057, 5.378610611, 5.3748002052]","[0.030575186, 0.0371906273, 0.0399862826, 0.0465156697]","[0.0188894924, 0.020415917, 0.0391713493, 0.0059995782, 0.0100606084, 0.0018501139, 0.1735815257]",0,0.1677724123,raw_action_units,2,96,769564,769564,true
4,train_single_demo,0.1673596253,0.1673596253,raw_action_units,0.9833622773,0.9833622773,5.378450712,"[0.9996165633, 0.9642390609, 0.9821079373, 0.9874857068]","[5.41340065, 5.3512911797, 5.3738427162, 5.3752689362]","[0.0589460097, 0.06257613, 0.0717086941, 0.0663196445]","[0.026489431, 0.0140622398, 0.0848355666, 0.0024734731, 0.0053238142, 0.0028132226, 0.318215549]",0,0.1673596189,raw_action_units,2,96,769564,769564,true
4,eval_same_demo_teacher_forced,0.1507615224,0.1507615224,raw_action_units,0.9818371534,0.9818371534,5.367416223,"[0.9953878522, 0.9620755315, 0.9769863486, 0.9928990006]","[5.3963336945, 5.3403172493, 5.3567996025, 5.3762154579]","[0.0301486943, 0.0361361094, 0.0369812213, 0.0436912291]","[0.0125293955, 0.0169504918, 0.0371337533, 0.0034624424, 0.0068152435, 0.0030453773, 0.1772385091]",0,0.1507615192,raw_action_units,2,96,769564,769564,true
5,train_single_demo,0.1491018881,0.1491018881,raw_action_units,0.9826440811,0.9826440811,5.367424329,"[0.9947859645, 0.962587595, 0.977291882, 0.9959108233]","[5.3939986229, 5.3401503563, 5.3558688164, 5.3796811104]","[0.0419364013, 0.0405761003, 0.0555825979, 0.0578125082]","[0.0262068287, 0.016348118, 0.0693307817, 0.0064436481, 0.005084489, 0.0022933723, 0.2171310782]",0,0.1491018846,raw_action_units,2,96,769564,769564,true
5,eval_same_demo_teacher_forced,0.1350598584,0.1350598584,raw_action_units,0.9888259967,0.9888259967,5.372469266,"[0.994653523, 0.9668245912, 0.9824450612, 1.0113807917]","[5.3884444237, 5.3439993858, 5.3584637642, 5.3989696503]","[0.0231273826, 0.0330227464, 0.0445493162, 0.0411494859]","[0.0116069019, 0.0148211308, 0.0448527038, 0.0058067855, 0.0042871321, 0.0024936108, 0.1643673629]",0,0.1350598534,raw_action_units,2,96,769564,769564,true
