run_id,model,split,trajectory_id,time_index,target_action_index,horizon,expert_action,pred_action,expert_action_norm,pred_action_norm,expert_gripper,pred_gripper,cosine_similarity,per_dimension_error,squared_error
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,3,4,0,"[0.5062500238418579, 0.17142857611179352, 0.02946428582072258, -0.020357143133878708, 0.007499999832361937, -0.0, -1.0]","[0.5631684064865112, 0.0917305201292038, 0.03636365011334419, -0.030993837863206863, 0.013682154938578606, 0.010776912793517113, -0.9799643754959106]",1.134467125,1.135116577,-1,-0.9799643755,0.9959978461,"[0.05691838264465332, -0.07969805598258972, 0.0068993642926216125, -0.010636694729328156, 0.006182155106216669, 0.010776912793517113, 0.020035624504089355]",0.001472572796
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,3,5,1,"[0.6053571701049805, 0.1741071492433548, 0.02946428582072258, -0.02250000089406967, 0.013928571715950966, -0.0, -1.0]","[0.5979011654853821, 0.10002662241458893, 0.03855385258793831, 0.002056717872619629, 0.027616804465651512, -0.017449311912059784, -1.027248740196228]",1.182513833,1.19385469,-1,-1.02724874,0.9974021912,"[-0.007456004619598389, -0.07408052682876587, 0.009089566767215729, 0.0245567187666893, 0.013688232749700546, -0.017449311912059784, -0.027248740196228027]",0.001066215569
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,3,6,2,"[0.6803571581840515, 0.16339285671710968, -0.0, -0.025714285671710968, 0.0053571430034935474, -0.0, -1.0]","[0.6334711909294128, 0.10603799670934677, 0.03810643032193184, 0.01584392413496971, 0.029357094317674637, 0.01568349450826645, -0.9869966506958008]",1.220767379,1.178771853,-1,-0.9869966507,0.9972569942,"[-0.04688596725463867, -0.05735486000776291, 0.03810643032193184, 0.04155820980668068, 0.023999951779842377, 0.01568349450826645, 0.013003349304199219]",0.001379730878
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,3,7,3,"[0.6991071701049805, 0.14464285969734192, -0.0, -0.017142856493592262, 0.0, -0.0, -1.0]","[0.6590362191200256, 0.10810738056898117, 0.021116314455866814, 0.01078939437866211, 0.029795721173286438, 0.0025822073221206665, -1.0133113861083984]",1.228806853,1.214196324,-1,-1.013311386,0.9983161092,"[-0.040070950984954834, -0.03653547912836075, 0.021116314455866814, 0.02793225087225437, 0.029795721173286438, 0.0025822073221206665, -0.013311386108398438]",0.0007483254303
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,4,5,0,"[0.6053571701049805, 0.1741071492433548, 0.02946428582072258, -0.02250000089406967, 0.013928571715950966, -0.0, -1.0]","[0.6086068749427795, 0.12308648228645325, 0.010082419961690903, -0.02956422045826912, 0.006323745474219322, 0.01081877015531063, -0.9764136075973511]",1.182513833,1.157613397,-1,-0.9764136076,0.9988493919,"[0.0032497048377990723, -0.05102066695690155, -0.019381865859031677, -0.007064219564199448, -0.007604826241731644, 0.01081877015531063, 0.023586392402648926]",0.0005386323319
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,4,6,1,"[0.6803571581840515, 0.16339285671710968, -0.0, -0.025714285671710968, 0.0053571430034935474, -0.0, -1.0]","[0.6406294107437134, 0.11700676381587982, 0.0011196881532669067, -0.0026764608919620514, 0.01155184768140316, -0.02033708244562149, -1.0145281553268433]",1.220767379,1.205785871,-1,-1.014528155,0.9984033108,"[-0.039727747440338135, -0.04638609290122986, 0.0011196881532669067, 0.023037824779748917, 0.006194704677909613, -0.02033708244562149, -0.014528155326843262]",0.0007035709568
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,4,7,2,"[0.6991071701049805, 0.14464285969734192, -0.0, -0.017142856493592262, 0.0, -0.0, -1.0]","[0.6729609370231628, 0.11443192511796951, -0.026025917381048203, 0.024040069431066513, 0.0227101631462574, 0.01391177624464035, -0.9870975017547607]",1.228806853,1.200956702,-1,-0.9870975018,0.9986211658,"[-0.026146233081817627, -0.030210934579372406, -0.026025917381048203, 0.041182927787303925, 0.0227101631462574, 0.01391177624464035, 0.012902498245239258]",0.0006922102184
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,4,8,3,"[0.7044642567634583, 0.11785714328289032, -0.02946428582072258, -0.003214285708963871, 0.0, -0.0, -1.0]","[0.6765321493148804, 0.10367495566606522, -0.057100072503089905, 0.013470202684402466, 0.012442264705896378, 0.0048239827156066895, -1.0165846347808838]",1.229243159,1.226991653,-1,-1.016584635,0.9991806149,"[-0.02793210744857788, -0.014182187616825104, -0.027635786682367325, 0.016684487462043762, 0.012442264705896378, 0.0048239827156066895, -0.01658463478088379]",0.0003537966695
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,5,6,0,"[0.6803571581840515, 0.16339285671710968, -0.0, -0.025714285671710968, 0.0053571430034935474, -0.0, -1.0]","[0.6526505947113037, 0.13503655791282654, -0.019197974354028702, -0.024004552513360977, 0.006703982129693031, 0.007228059694170952, -0.9143455028533936]",1.220767379,1.131926417,-1,-0.9143455029,0.9994784594,"[-0.027706563472747803, -0.028356298804283142, -0.019197974354028702, 0.0017097331583499908, 0.0013468391261994839, 0.007228059694170952, 0.08565449714660645]",0.001333424472
20260529_wam_gru_no_future_single_demo_overfit_seed0,wam_gru_dinov2s_no_future,eval_same_demo_teacher_forced,datasets/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5:data/demo_0,5,7,1,"[0.6991071701049805, 0.14464285969734192, -0.0, -0.017142856493592262, 0.0, -0.0, -1.0]","[0.671140730381012, 0.12403646111488342, -0.04248229041695595, -0.004575483500957489, -0.00937190093100071, -0.023778587579727173, -0.9431672692298889]",1.228806853,1.165271759,-1,-0.9431672692,0.9989469051,"[-0.027966439723968506, -0.020606398582458496, -0.04248229041695595, 0.012567372992634773, -0.00937190093100071, -0.023778587579727173, 0.056832730770111084]",0.001007520244
