epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
0,train_single_demo,0.376727581,0.376727581,raw_action_units,1.006680489,1.006680489,5.486219724,"[1.0316056013, 0.9869239926, 1.0041974783, 1.0039952993]","[5.5401206017, 5.4493308067, 5.4725494385, 5.4828763008]","[0.1318638027, 0.1052202508, 0.0831165463, 0.0789683834]","[0.0579644553, 0.08875826, 0.1371250451, 0.0146393953, 0.0188225079, 0.0321267955, 0.3491092622]",0,0.3767275583,raw_action_units,2,96,769564,769564,true
0,eval_same_demo_teacher_forced,0.2229564091,0.2229564091,raw_action_units,0.994131128,0.994131128,5.448048274,"[1.0218538046, 0.9709784389, 0.9863622785, 0.9973300099]","[5.5042452812, 5.4079728127, 5.4285597801, 5.4514141083]","[0.0822476372, 0.0749442875, 0.0411102474, 0.0592464618]","[0.0470720828, 0.0601490401, 0.0821221098, 0.0029291881, 0.0207215045, 0.0078175096, 0.2298986316]",0,0.222956402,raw_action_units,2,96,769564,769564,true
1,train_single_demo,0.218364055,0.218364055,raw_action_units,0.9935540358,0.9935540358,5.447751522,"[1.0233930349, 0.9689333439, 0.9834397435, 0.9984500408]","[5.5081634521, 5.4048423767, 5.4242796898, 5.4537215233]","[0.0722262263, 0.0841636881, 0.0755749568, 0.0699038282]","[0.0437036343, 0.0317193344, 0.1031317487, 0.0059209731, 0.011489979, 0.0027115566, 0.3295929432]",0,0.2183640457,raw_action_units,2,96,769564,769564,true
1,eval_same_demo_teacher_forced,0.1991864294,0.1991864294,raw_action_units,0.9935087562,0.9935087562,5.450868448,"[1.0291004181, 0.9627170563, 0.9747455716, 1.0074719191]","[5.5223312378, 5.3956141472, 5.413172245, 5.4723553658]","[0.0377669595, 0.0402652919, 0.0526206456, 0.0520586371]","[0.0304154512, 0.0356922261, 0.0525941998, 0.0066471417, 0.0141252978, 0.0060485895, 0.1742222458]",0,0.1991864244,raw_action_units,2,96,769564,769564,true
2,train_single_demo,0.1989182582,0.1989182582,raw_action_units,0.9938199917,0.9938199917,5.451730728,"[1.0296438932, 0.9618255496, 0.9750526547, 1.0087578297]","[5.5236358643, 5.3937220573, 5.4145150185, 5.475048542]","[0.0685474798, 0.0655000284, 0.0700712875, 0.0639901385]","[0.0376423337, 0.0332124494, 0.0755671039, 0.0030421696, 0.0080204466, 0.007218339, 0.3044877946]",0,0.1989182518,raw_action_units,2,96,769564,769564,true
2,eval_same_demo_teacher_forced,0.1990573804,0.1990573804,raw_action_units,0.996511519,0.996511519,5.456330776,"[1.0328366756, 0.9602288604, 0.9782800078, 1.0147007704]","[5.5299201012, 5.3876342773, 5.4218068123, 5.4859623909]","[0.0288041253, 0.045180168, 0.0513479821, 0.0465544276]","[0.0266692564, 0.0402201042, 0.0430483408, 0.0012312442, 0.0059577986, 0.0054127988, 0.1782621741]",0,0.1990573718,raw_action_units,2,96,769564,769564,true
3,train_single_demo,0.1980658621,0.1980658621,raw_action_units,0.996825099,0.996825099,5.45607535,"[1.0331991911, 0.9598285556, 0.9793371558, 1.0149353743]","[5.5298848152, 5.3856258392, 5.4232845306, 5.4855065346]","[0.0677670464, 0.0674144253, 0.0648540109, 0.0663440526]","[0.0327208042, 0.0297886226, 0.0901398659, 0.0022623211, 0.0069964626, 0.0043979702, 0.2998581231]",0,0.1980658486,raw_action_units,2,96,769564,769564,true
3,eval_same_demo_teacher_forced,0.1895550191,0.1895550191,raw_action_units,0.9980563323,0.9980563323,5.454138438,"[1.0344308615, 0.958984673, 0.9857967496, 1.0130130053]","[5.5283560753, 5.3787250519, 5.4321274757, 5.4773445129]","[0.0262861624, 0.0441446491, 0.0486928411, 0.0429030545]","[0.0207306892, 0.0310672373, 0.0406048335, 0.0026394436, 0.003700237, 0.0018750447, 0.1829292327]",0,0.1895550092,raw_action_units,2,96,769564,769564,true
4,train_single_demo,0.1893289437,0.1893289437,raw_action_units,0.9982699156,0.9982699156,5.453928947,"[1.034828186, 0.9589980245, 0.9867805839, 1.0124727488]","[5.5284714699, 5.3781776428, 5.4332504272, 5.4758148193]","[0.0772513524, 0.0724816099, 0.0722088218, 0.0843300819]","[0.0308529232, 0.0156551767, 0.0928296819, 0.0027090122, 0.0044521815, 0.001923196, 0.3875535727]",0,0.1893289316,raw_action_units,2,96,769564,769564,true
4,eval_same_demo_teacher_forced,0.1794650952,0.1794650952,raw_action_units,0.9984124104,0.9984124104,5.449694633,"[1.0348016024, 0.9587088227, 0.9915707707, 1.0085682869]","[5.5234870911, 5.3740978241, 5.4375720024, 5.4636211395]","[0.0282621104, 0.0353875495, 0.0460096709, 0.0440000258]","[0.018857317, 0.0220865179, 0.0386333354, 0.0034275602, 0.0073170871, 0.0026393866, 0.1759426445]",0,0.1794650895,raw_action_units,2,96,769564,769564,true
5,train_single_demo,0.1783297459,0.1783297459,raw_action_units,0.9982169469,0.9982169469,5.448348045,"[1.0344182253, 0.9585647583, 0.9919660687, 1.0079185963]","[5.5216116905, 5.3732323647, 5.4372811317, 5.4612660408]","[0.0547110997, 0.0592330843, 0.0633959621, 0.0683994517]","[0.0287145972, 0.0200722516, 0.0715246871, 0.0023404688, 0.0058821305, 0.0031412605, 0.2983688414]",0,0.1783297403,raw_action_units,2,96,769564,769564,true
5,eval_same_demo_teacher_forced,0.1742047196,0.1742047196,raw_action_units,0.9974043171,0.9974043171,5.441932678,"[1.0324584246, 0.9591210485, 0.9935232997, 1.004514575]","[5.5123267174, 5.3715405464, 5.4350981712, 5.4487652779]","[0.0342540555, 0.0340593457, 0.0444480367, 0.0464116782]","[0.0199963953, 0.0193048324, 0.0369854681, 0.0028701227, 0.0104580438, 0.0041132066, 0.1848248988]",0,0.1742047071,raw_action_units,2,96,769564,769564,true
6,train_single_demo,0.1736926436,0.1736926436,raw_action_units,0.9973624945,0.9973624945,5.440987587,"[1.0320762396, 0.9596387744, 0.9935209155, 1.0042142868]","[5.5106253624, 5.3720650673, 5.4342484474, 5.4470114708]","[0.0510131568, 0.0581272952, 0.0600597672, 0.0576721542]","[0.0281761438, 0.0197448749, 0.0883129463, 0.0019309539, 0.0064515206, 0.0025258493, 0.2498843521]",0,0.1736926351,raw_action_units,2,96,769564,769564,true
6,eval_same_demo_teacher_forced,0.1690926353,0.1690926353,raw_action_units,0.9970356226,0.9970356226,5.436688423,"[1.029583931, 0.9626324773, 0.9919917583, 1.0039343834]","[5.5017547607, 5.3755431175, 5.4277634621, 5.4416923523]","[0.0343763269, 0.037099611, 0.0422200598, 0.0442907326]","[0.0176989716, 0.0195363536, 0.038453456, 0.0023261828, 0.007913447, 0.0035321619, 0.1870161891]",0,0.1690926268,raw_action_units,2,96,769564,769564,true
7,train_single_demo,0.1683176756,0.1683176756,raw_action_units,0.996834,0.996834,5.435847282,"[1.029035449, 0.9629600048, 0.9910319448, 1.0043085814]","[5.5001339912, 5.3758292198, 5.4255299568, 5.4418945312]","[0.0573625453, 0.0610232092, 0.0618156604, 0.0612932779]","[0.0296580773, 0.019524429, 0.0884183273, 0.0015560547, 0.0038710365, 0.0013287836, 0.2782589793]",0,0.1683176642,raw_action_units,2,96,769564,769564,true
7,eval_same_demo_teacher_forced,0.1637928635,0.1637928635,raw_action_units,0.9957284729,0.9957284729,5.43156147,"[1.0260483027, 0.9645709991, 0.9860089421, 1.006285429]","[5.4917616844, 5.377058506, 5.4140372276, 5.4433865547]","[0.0303379614, 0.0396720134, 0.038712997, 0.0415827744]","[0.0127853863, 0.0196817741, 0.044219207, 0.0018352427, 0.0057218932, 0.003744398, 0.1750471443]",0,0.1637928543,raw_action_units,2,96,769564,769564,true
8,train_single_demo,0.1630573819,0.1630573819,raw_action_units,0.9952094158,0.9952094158,5.430217743,"[1.0254588127, 0.9641945362, 0.9847657084, 1.0064183474]","[5.4901022911, 5.3759999275, 5.4114003181, 5.4433670044]","[0.0460747294, 0.0519541949, 0.0523134023, 0.0492897965]","[0.0243701488, 0.0170071553, 0.0661176443, 0.0014129621, 0.0041143824, 0.0022590731, 0.234074831]",0,0.1630573727,raw_action_units,2,96,769564,769564,true
8,eval_same_demo_teacher_forced,0.1584726547,0.1584726547,raw_action_units,0.9928207199,0.9928207199,5.424707731,"[1.0227952003, 0.9627249837, 0.9789037704, 1.0068588257]","[5.4835247993, 5.372127533, 5.399330616, 5.4438457489]","[0.0273248404, 0.0380457975, 0.0361702703, 0.0414176136]","[0.0100721633, 0.0177392866, 0.0441392511, 0.0016694008, 0.0054002577, 0.0035967382, 0.1675602943]",0,0.158472643,raw_action_units,2,96,769564,769564,true
9,train_single_demo,0.1583945801,0.1583945801,raw_action_units,0.9922923048,0.9922923048,5.423893134,"[1.0224291086, 0.9622743726, 0.9777081609, 1.0067573786]","[5.4829921722, 5.371366024, 5.3971238136, 5.4440894127]","[0.0542910583, 0.0584488995, 0.0698792189, 0.0662119612]","[0.0277922153, 0.0202564206, 0.0967163369, 0.0016532457, 0.0035458843, 0.0010971433, 0.2843932807]",0,0.1583945694,raw_action_units,2,96,769564,769564,true
9,eval_same_demo_teacher_forced,0.1531756868,0.1531756868,raw_action_units,0.9892977873,0.9892977873,5.418540319,"[1.0204391479, 0.9583658576, 0.9731257558, 1.0052602291]","[5.4792304039, 5.3641581535, 5.3883132935, 5.4424576759]","[0.0258759689, 0.0331407301, 0.0349736772, 0.0409980118]","[0.0092356289, 0.0153648667, 0.0401406847, 0.0012906684, 0.005518429, 0.0027101494, 0.1619692594]",0,0.1531756832,raw_action_units,2,96,769564,769564,true
10,train_single_demo,0.1523647209,0.1523647209,raw_action_units,0.9887638688,0.9887638688,5.417624633,"[1.0202281475, 0.9573001862, 0.9726421237, 1.0048851967]","[5.478867054, 5.3622641563, 5.3874115944, 5.4419541359]","[0.0471678264, 0.0533249639, 0.058964368, 0.0554543771]","[0.0239166524, 0.0117578888, 0.070785366, 0.0015109405, 0.0034156742, 0.0013223429, 0.2633862793]",0,0.1523647081,raw_action_units,2,96,769564,769564,true
10,eval_same_demo_teacher_forced,0.1477975274,0.1477975274,raw_action_units,0.9870442549,0.9870442549,5.414142609,"[1.0193303823, 0.9528949857, 0.9720883369, 1.0038632154]","[5.476588726, 5.3539938927, 5.3860244751, 5.4399628639]","[0.0259274542, 0.0314640626, 0.0370589681, 0.0417000689]","[0.0086371582, 0.0146310022, 0.0416838191, 0.0009514589, 0.00563419, 0.0024772261, 0.1642486304]",0,0.1477975221,raw_action_units,2,96,769564,769564,true
11,train_single_demo,0.1467036555,0.1467036555,raw_action_units,0.9871419668,0.9871419668,5.414199193,"[1.0194408894, 0.9524669647, 0.9726543427, 1.0040057898]","[5.4766249657, 5.3531546593, 5.3869690895, 5.4400482178]","[0.0462337546, 0.0471729822, 0.057107348, 0.0537651777]","[0.0251541194, 0.0186247211, 0.0773899406, 0.0012988222, 0.0040651131, 0.0017652354, 0.2291907221]",0,0.146703652,raw_action_units,2,96,769564,769564,true
