start_t,horizon,continuous_normalized_mse,gripper_sign_accuracy,global_raw_mse,mode
4,10,0.02973572537302971,1.0,0.0029254022520035505,autoregressive
5,10,0.023533495143055916,1.0,0.002337586134672165,autoregressive
6,10,0.020006263628602028,1.0,0.0017822639783844352,autoregressive
7,10,0.014225265942513943,1.0,0.0008890985627658665,autoregressive
8,10,0.015111234970390797,1.0,0.0007160470704548061,autoregressive
9,10,0.015977727249264717,1.0,0.0005817642086185515,autoregressive
10,10,0.0200578011572361,1.0,0.0006043498869985342,autoregressive
11,10,0.028446560725569725,1.0,0.0005367688136175275,autoregressive
12,10,0.03942253813147545,1.0,0.0005647425423376262,autoregressive
13,10,0.04990902915596962,1.0,0.0005653105326928198,autoregressive
14,10,0.04962437227368355,1.0,0.0005210411618463695,autoregressive
15,10,0.046853017061948776,1.0,0.0005517746903933585,autoregressive
16,10,0.05783688649535179,1.0,0.0008047667215578258,autoregressive
17,10,0.0704561173915863,1.0,0.0010543826501816511,autoregressive
18,10,0.08025028556585312,1.0,0.001302266144193709,autoregressive
19,10,0.0814959853887558,1.0,0.001351696439087391,autoregressive
20,10,0.07512737065553665,1.0,0.0011743265204131603,autoregressive
21,10,0.07299688458442688,1.0,0.0011214843252673745,autoregressive
22,10,0.07674180716276169,1.0,0.0012856880202889442,autoregressive
23,10,0.08391249179840088,1.0,0.0016676787054166198,autoregressive
24,10,0.06397514790296555,1.0,0.0015127190854400396,autoregressive
25,10,0.04973343387246132,1.0,0.0012451459188014269,autoregressive
26,10,0.03809315711259842,0.8999999761581421,0.05824149772524834,autoregressive
27,10,0.030282817780971527,0.800000011920929,0.11570005118846893,autoregressive
28,10,0.044117577373981476,0.699999988079071,0.17372769117355347,autoregressive
29,10,0.07953286170959473,0.699999988079071,0.17452877759933472,autoregressive
30,10,0.09096162766218185,0.800000011920929,0.11681389063596725,autoregressive
31,10,0.10228424519300461,0.800000011920929,0.1166844367980957,autoregressive
32,10,0.110117606818676,0.800000011920929,0.11667846888303757,autoregressive
33,10,0.12795445322990417,0.800000011920929,0.11727560311555862,autoregressive
34,10,0.26104414463043213,0.699999988079071,0.17674604058265686,autoregressive
35,10,0.2881202697753906,0.699999988079071,0.17732739448547363,autoregressive
36,10,0.07118895649909973,1.0,0.00467650406062603,autoregressive
37,10,0.08173666149377823,1.0,0.006030210293829441,autoregressive
38,10,0.08694092184305191,1.0,0.006434204522520304,autoregressive
39,10,0.07550861686468124,1.0,0.005471514072269201,autoregressive
40,10,0.05506019666790962,1.0,0.002174788387492299,autoregressive
41,10,0.05218476802110672,1.0,0.002673459006473422,autoregressive
42,10,0.04015559330582619,1.0,0.002571125514805317,autoregressive
43,10,0.023984340950846672,1.0,0.002191707259044051,autoregressive
44,10,0.019445931538939476,1.0,0.001789746922440827,autoregressive
45,10,0.020382994785904884,1.0,0.001965215429663658,autoregressive
46,10,0.03647802397608757,1.0,0.0029325310606509447,autoregressive
47,10,0.06691524386405945,1.0,0.004725066479295492,autoregressive
48,10,0.04727878421545029,1.0,0.003082630690187216,autoregressive
49,10,0.06037852540612221,1.0,0.0035909286234527826,autoregressive
50,10,0.07307624071836472,1.0,0.004213549196720123,autoregressive
51,10,0.07503436505794525,1.0,0.0042068688198924065,autoregressive
52,10,0.06981554627418518,1.0,0.003814271418377757,autoregressive
53,10,0.0625307559967041,1.0,0.0037135123275220394,autoregressive
54,10,0.06538951396942139,1.0,0.00435812771320343,autoregressive
55,10,0.07556760311126709,1.0,0.005375174339860678,autoregressive
56,10,0.0898798331618309,1.0,0.006537837442010641,autoregressive
57,10,0.12069755047559738,1.0,0.008844953030347824,autoregressive
58,10,0.14171752333641052,1.0,0.011385367251932621,autoregressive
59,10,0.1629110425710678,1.0,0.01257405150681734,autoregressive
60,10,0.16747570037841797,1.0,0.012581376358866692,autoregressive
61,10,0.17761778831481934,1.0,0.012987657450139523,autoregressive
62,10,0.1976872831583023,1.0,0.013520635664463043,autoregressive
63,10,0.21837221086025238,1.0,0.012586182914674282,autoregressive
64,10,0.24196025729179382,1.0,0.010710333473980427,autoregressive
65,10,0.2625647485256195,1.0,0.008945119567215443,autoregressive
66,10,0.3018174171447754,1.0,0.00782363023608923,autoregressive
67,10,0.2506827414035797,1.0,0.004709933418780565,autoregressive
68,10,0.15752531588077545,1.0,0.0025212308391928673,autoregressive
69,10,0.12821955978870392,1.0,0.002421315759420395,autoregressive
70,10,0.08281406760215759,1.0,0.0018465683097019792,autoregressive
71,10,0.07828731834888458,1.0,0.0018220430938526988,autoregressive
72,10,0.0932234600186348,1.0,0.0019623804837465286,autoregressive
73,10,0.08234144002199173,1.0,0.0015612649731338024,autoregressive
74,10,0.06355888396501541,1.0,0.0011108389589935541,autoregressive
75,10,0.05886662006378174,1.0,0.0009497358114458621,autoregressive
76,10,0.05759928748011589,1.0,0.0008126416942104697,autoregressive
77,10,0.07488684356212616,1.0,0.0009878361597657204,autoregressive
78,10,0.10379770398139954,1.0,0.0014694607816636562,autoregressive
79,10,0.1369152069091797,1.0,0.0025832010433077812,autoregressive
80,10,0.1377008557319641,1.0,0.003117560176178813,autoregressive
81,10,0.09974124282598495,1.0,0.0029082114342600107,autoregressive
82,10,0.06375879794359207,1.0,0.002516439650207758,autoregressive
83,10,0.05899972841143608,1.0,0.0025408619549125433,autoregressive
84,10,0.05049154907464981,1.0,0.0022648221347481012,autoregressive
85,10,0.0421803779900074,1.0,0.0017357427859678864,autoregressive
86,10,0.07902777194976807,1.0,0.0019512485014274716,autoregressive
87,10,0.11855350434780121,1.0,0.002192707033827901,autoregressive
88,10,0.13746778666973114,1.0,0.0026002265512943268,autoregressive
89,10,0.1304466426372528,1.0,0.0027264286763966084,autoregressive
90,10,0.14034412801265717,0.8999999761581421,0.06073905900120735,autoregressive
91,10,0.17477475106716156,0.800000011920929,0.12041044235229492,autoregressive
92,10,0.2270764410495758,0.699999988079071,0.1806599348783493,autoregressive
4,10,0.007013130467385054,1.0,,teacher_forced
5,10,0.006436965893954039,1.0,,teacher_forced
6,10,0.008125808089971542,1.0,,teacher_forced
7,10,0.009089265018701553,1.0,,teacher_forced
8,10,0.012648483738303185,1.0,,teacher_forced
9,10,0.014552084729075432,1.0,,teacher_forced
10,10,0.01795872114598751,1.0,,teacher_forced
11,10,0.027598995715379715,1.0,,teacher_forced
12,10,0.03301063925027847,1.0,,teacher_forced
13,10,0.034398458898067474,1.0,,teacher_forced
14,10,0.0359003022313118,1.0,,teacher_forced
15,10,0.03548264130949974,1.0,,teacher_forced
16,10,0.03669983521103859,1.0,,teacher_forced
17,10,0.04351488873362541,1.0,,teacher_forced
18,10,0.04452909156680107,1.0,,teacher_forced
19,10,0.042752671986818314,1.0,,teacher_forced
20,10,0.04038304463028908,1.0,,teacher_forced
21,10,0.0405048131942749,1.0,,teacher_forced
22,10,0.04676155373454094,1.0,,teacher_forced
23,10,0.05295960232615471,1.0,,teacher_forced
24,10,0.044564906507730484,1.0,,teacher_forced
25,10,0.04082449898123741,1.0,,teacher_forced
26,10,0.041306670755147934,0.8999999761581421,,teacher_forced
27,10,0.031949445605278015,0.8999999761581421,,teacher_forced
28,10,0.028953826054930687,0.8999999761581421,,teacher_forced
29,10,0.028609277680516243,0.8999999761581421,,teacher_forced
30,10,0.03133891895413399,0.8999999761581421,,teacher_forced
31,10,0.02983037754893303,0.8999999761581421,,teacher_forced
32,10,0.03020547144114971,0.8999999761581421,,teacher_forced
33,10,0.0339653454720974,0.8999999761581421,,teacher_forced
34,10,0.03724721446633339,0.8999999761581421,,teacher_forced
35,10,0.03885437548160553,0.8999999761581421,,teacher_forced
36,10,0.03448193147778511,1.0,,teacher_forced
37,10,0.034078650176525116,1.0,,teacher_forced
38,10,0.034993674606084824,1.0,,teacher_forced
39,10,0.03460172936320305,1.0,,teacher_forced
40,10,0.05856739357113838,1.0,,teacher_forced
41,10,0.052881721407175064,1.0,,teacher_forced
42,10,0.0432840995490551,1.0,,teacher_forced
43,10,0.01981884054839611,1.0,,teacher_forced
44,10,0.014629089273512363,1.0,,teacher_forced
45,10,0.011211522854864597,1.0,,teacher_forced
46,10,0.018640227615833282,1.0,,teacher_forced
47,10,0.03417442366480827,1.0,,teacher_forced
48,10,0.028840716928243637,1.0,,teacher_forced
49,10,0.03678992763161659,1.0,,teacher_forced
50,10,0.04297851026058197,1.0,,teacher_forced
51,10,0.04265877231955528,1.0,,teacher_forced
52,10,0.03848708048462868,1.0,,teacher_forced
53,10,0.03403998911380768,1.0,,teacher_forced
54,10,0.03403019905090332,1.0,,teacher_forced
55,10,0.035688433796167374,1.0,,teacher_forced
56,10,0.03835364803671837,1.0,,teacher_forced
57,10,0.0505136102437973,1.0,,teacher_forced
58,10,0.0576431006193161,1.0,,teacher_forced
59,10,0.06244379281997681,1.0,,teacher_forced
60,10,0.06492794305086136,1.0,,teacher_forced
61,10,0.06814665347337723,1.0,,teacher_forced
62,10,0.07230978459119797,1.0,,teacher_forced
63,10,0.08283651620149612,1.0,,teacher_forced
