mode,horizon,continuous_normalized_mse,continuous_raw_mae,gripper_sign_accuracy,delta_rot_x_mse,variant,error_growth_slope,max_error,action_drift_norm
autoregressive_open_loop,1,0.012331337668001652,0.019605522975325584,1.0,2.6610514396452345e-06,baseline,,,
autoregressive_open_loop,5,0.05376945063471794,0.03213697299361229,1.0,7.388267840724438e-05,baseline,,,
autoregressive_open_loop,10,0.15133175253868103,0.02742348425090313,1.0,0.00014582065341528505,baseline,,,
autoregressive_open_loop,20,0.3875195384025574,0.042496681213378906,1.0,0.0008373659802600741,baseline,,,
autoregressive_open_loop,40,1.8962433338165283,0.08108752220869064,0.7749999761581421,0.0010722614824771881,baseline,,,
autoregressive_open_loop,60,8.858384132385254,0.1994466334581375,0.5166666507720947,0.0032116579823195934,baseline,,,
autoregressive_open_loop,full,8.858384132385254,0.1994466334581375,0.5166666507720947,0.0032116579823195934,baseline,0.5655626654624939,36.157222747802734,1.1032134294509888
teacher_forced_h1,1,0.0032900406513363123,0.010332100093364716,1.0,1.2223309170389385e-11,history_noise_aug,,,
teacher_forced_h1,5,0.005182697903364897,0.008904521353542805,1.0,1.744923065416515e-05,history_noise_aug,,,
teacher_forced_h1,10,0.004780767019838095,0.008848164230585098,1.0,1.2010759746772237e-05,history_noise_aug,,,
teacher_forced_h1,20,0.01272497046738863,0.011536326259374619,1.0,1.6266323655145243e-05,history_noise_aug,,,
teacher_forced_h1,40,0.010239540599286556,0.011489873751997948,0.949999988079071,1.3727129953622352e-05,history_noise_aug,,,
teacher_forced_h1,60,0.008476337417960167,0.011262284591794014,0.9666666388511658,1.137536673923023e-05,history_noise_aug,,,
teacher_forced_h1,full,0.008476337417960167,0.011262284591794014,0.9666666388511658,1.137536673923023e-05,history_noise_aug,-0.00011701957555487752,0.08332545310258865,0.06682343780994415
autoregressive_open_loop,1,0.0032900406513363123,0.010332100093364716,1.0,1.2223309170389385e-11,history_noise_aug,,,
autoregressive_open_loop,5,0.014102586545050144,0.012976610101759434,1.0,2.6965139113599434e-05,history_noise_aug,,,
autoregressive_open_loop,10,0.02750115469098091,0.015281139872968197,1.0,3.7411937228171155e-05,history_noise_aug,,,
autoregressive_open_loop,20,0.13317057490348816,0.020350268110632896,1.0,0.0001795806601876393,history_noise_aug,,,
autoregressive_open_loop,40,0.45805057883262634,0.04045381769537926,0.7749999761581421,0.0005061660776846111,history_noise_aug,,,
autoregressive_open_loop,60,0.9878094792366028,0.12902477383613586,0.5166666507720947,0.0008156358380801976,history_noise_aug,,,
autoregressive_open_loop,full,0.9878094792366028,0.12902477383613586,0.5166666507720947,0.0008156358380801976,history_noise_aug,0.05211978405714035,4.242606163024902,1.0354151725769043
corrupted_history_noise_0.1,10,0.03207121416926384,0.01538877747952938,1.0,4.014088699477725e-05,history_noise_aug,0.006129133515059948,0.06901778280735016,
corrupted_history_noise_0.5,10,0.046422164887189865,0.017881805077195168,1.0,4.682865983340889e-05,history_noise_aug,0.007718345616012812,0.08618386834859848,
corrupted_history_noise_1.0,10,0.10857653617858887,0.052713312208652496,1.0,0.00020876445341855288,history_noise_aug,0.007767216302454472,0.19040930271148682,
corrupted_history_noise_2.0,10,0.3136349022388458,0.07399594038724899,1.0,0.0011104864533990622,history_noise_aug,0.00283935759216547,0.4072763919830322,
teacher_forced_h1,1,0.009730552323162556,0.018215464428067207,1.0,3.3311048355244566e-06,history_dropout_aug,,,
teacher_forced_h1,5,0.010458494536578655,0.012368259020149708,1.0,1.4900401765771676e-05,history_dropout_aug,,,
teacher_forced_h1,10,0.010666191577911377,0.011221775785088539,1.0,2.2068526959628798e-05,history_dropout_aug,,,
teacher_forced_h1,20,0.01606014557182789,0.013398970477283001,1.0,2.4288761778734624e-05,history_dropout_aug,,,
teacher_forced_h1,40,0.014245963655412197,0.01274148840457201,0.949999988079071,1.909824277390726e-05,history_dropout_aug,,,
teacher_forced_h1,60,0.011395246721804142,0.012472469359636307,0.9666666388511658,1.5166557204793207e-05,history_dropout_aug,,,
teacher_forced_h1,full,0.011395246721804142,0.012472469359636307,0.9666666388511658,1.5166557204793207e-05,history_dropout_aug,-0.00022990413708612323,0.039337124675512314,0.06683619320392609
autoregressive_open_loop,1,0.009730552323162556,0.018215464428067207,1.0,3.3311048355244566e-06,history_dropout_aug,,,
autoregressive_open_loop,5,0.048355262726545334,0.023612219840288162,1.0,2.8207616196596064e-05,history_dropout_aug,,,
autoregressive_open_loop,10,0.11293461918830872,0.029556643217802048,1.0,5.185662303119898e-05,history_dropout_aug,,,
autoregressive_open_loop,20,0.20098267495632172,0.03467518836259842,1.0,0.00016113693709485233,history_dropout_aug,,,
autoregressive_open_loop,40,0.3676668107509613,0.04750201851129532,0.7749999761581421,0.0006447111954912543,history_dropout_aug,,,
autoregressive_open_loop,60,1.4627957344055176,0.13758781552314758,0.5166666507720947,0.0012131697731092572,history_dropout_aug,,,
autoregressive_open_loop,full,1.4627957344055176,0.13758781552314758,0.5166666507720947,0.0012131697731092572,history_dropout_aug,0.08685094863176346,5.637514114379883,1.0272161960601807
corrupted_history_noise_0.1,10,0.11142604798078537,0.031884726136922836,1.0,5.081388371763751e-05,history_dropout_aug,0.025626225396990776,0.26286426186561584,
corrupted_history_noise_0.5,10,0.0748177245259285,0.02800094150006771,1.0,0.00010535910405451432,history_dropout_aug,0.011108500882983208,0.12410558015108109,
corrupted_history_noise_1.0,10,0.20795032382011414,0.05587484687566757,1.0,0.0003433087549638003,history_dropout_aug,0.05629671737551689,0.5657849907875061,
corrupted_history_noise_2.0,10,0.39602598547935486,0.09374408423900604,1.0,0.00021960935555398464,history_dropout_aug,0.08060992509126663,0.8239579200744629,
teacher_forced_h1,1,0.04736420512199402,0.022265926003456116,1.0,0.00019328070629853755,diagnostic_regularization,,,
teacher_forced_h1,5,0.0719805508852005,0.016414331272244453,1.0,0.00030998719739727676,diagnostic_regularization,,,
teacher_forced_h1,10,0.08848511427640915,0.014781758189201355,1.0,0.0003893253451678902,diagnostic_regularization,,,
teacher_forced_h1,20,0.11802864074707031,0.018172167241573334,1.0,0.00048304226947948337,diagnostic_regularization,,,
teacher_forced_h1,40,0.08995213359594345,0.017308462411165237,0.9750000238418579,0.0003597982577048242,diagnostic_regularization,,,
teacher_forced_h1,60,0.06581161171197891,0.016232799738645554,0.9833333492279053,0.0002609762013889849,diagnostic_regularization,,,
teacher_forced_h1,full,0.06581161171197891,0.016232799738645554,0.9833333492279053,0.0002609762013889849,diagnostic_regularization,-0.002293618628755212,0.24593698978424072,0.036174312233924866
autoregressive_open_loop,1,0.04736420512199402,0.022265926003456116,1.0,0.00019328070629853755,diagnostic_regularization,,,
autoregressive_open_loop,5,0.4062064588069916,0.03977589309215546,1.0,0.0018473335076123476,diagnostic_regularization,,,
autoregressive_open_loop,10,1.340942144393921,0.0469508022069931,1.0,0.00625253189355135,diagnostic_regularization,,,
autoregressive_open_loop,20,2.7008280754089355,0.08140789717435837,1.0,0.01234909612685442,diagnostic_regularization,,,
autoregressive_open_loop,40,3.264622449874878,0.10551999509334564,1.0,0.01374080777168274,diagnostic_regularization,,,
autoregressive_open_loop,60,3.877267360687256,0.13975277543067932,1.0,0.010058981366455555,diagnostic_regularization,,,
