variant,model_type,param_count,continuous_normalized_mse,continuous_raw_mse,continuous_raw_mae,gripper_sign_accuracy,gripper_transition_f1,global_raw_mse,old_1e4_gate,beat_last_action_continuous,beat_last_action_gripper_f1,best_epoch
last_action,copy,0,0.036254312843084335,0.001462372369132936,0.024056918919086456,0.9791666865348816,0.6666666666666666,0.0131582235917449,False,,,-1
mean_action,constant,0,1.0431830883026123,0.07794898748397827,0.1795678436756134,0.6666666865348816,0.0,0.19379755854606628,False,,,-1
linear_ar,linear_ar,28,0.3357379138469696,0.012281098403036594,0.06998340785503387,0.96875,0.6666666666666666,0.028383800759911537,False,False,False,299
action_history_gru,action_history_gru,256,0.032682325690984726,0.0013722229050472379,0.024045731872320175,0.96875,0.6666666666666666,0.019033333286643028,False,True,False,298
proprio_only_state,proprio_mlp,9,0.2728770077228546,0.037808530032634735,0.10209179669618607,0.90625,0.0,0.08597873151302338,False,False,False,299
proprio_plus_history,proprio_history_gru,265,0.01955101452767849,0.0011071786284446716,0.02088618464767933,0.9791666865348816,0.6666666666666666,0.012853771448135376,False,True,False,270
full_state_92d,full_state_mlp,92,0.024974901229143143,0.0018637010361999273,0.02679738588631153,0.9791666865348816,0.6666666666666666,0.013502220623195171,False,True,False,291
full_state_plus_history,full_state_history_gru,348,0.017023690044879913,0.001184700638987124,0.021224787458777428,0.9791666865348816,0.6666666666666666,0.012920219451189041,False,True,False,254
dino_cls,dino_cls_mlp,384,0.23636123538017273,0.034197550266981125,0.09502916783094406,0.8958333134651184,0.0,0.08883599936962128,False,False,False,295
dino_cls_plus_history,dino_cls_history_gru,640,0.02295714244246483,0.0013778159627690911,0.02339010499417782,0.9791666865348816,0.6666666666666666,0.013085747137665749,False,True,False,283
