variant,time_index,normalized_error,residuals,target,pred
full_state_plus_history,94,0.12439749389886856,"[-0.005650907754898071, -0.1325235515832901, -0.037524402141571045, 0.020354606211185455, 0.012740835547447205, -0.0028110258281230927]","[-0.2544642984867096, -0.010714286006987095, -0.4660714268684387, 0.008571428246796131, -0.14678572118282318, -0.0535714291036129]","[-0.26011520624160767, -0.14323784410953522, -0.5035958290100098, 0.02892603538930416, -0.13404488563537598, -0.05638245493173599]"
full_state_plus_history,95,0.07143712043762207,"[0.03958630561828613, -0.10080647468566895, -0.03313764929771423, 0.01384895108640194, 0.021041996777057648, -0.0011999011039733887]","[-0.2705357074737549, 0.0, -0.4178571403026581, 0.0, -0.13928571343421936, -0.051428571343421936]","[-0.23094940185546875, -0.10080647468566895, -0.4509947896003723, 0.01384895108640194, -0.11824371665716171, -0.052628472447395325]"
full_state_plus_history,65,0.06484314054250717,"[0.05259811878204346, -0.008840024471282959, 0.12147647142410278, 0.012869257479906082, 0.0356198251247406, 0.0010173209011554718]","[0.5410714149475098, 0.7098214030265808, 0.14464285969734192, -0.029999999329447746, 0.0, -0.0]","[0.5936695337295532, 0.7009813785552979, 0.2661193311214447, -0.017130741849541664, 0.0356198251247406, 0.0010173209011554718]"
full_state_plus_history,83,0.05907592549920082,"[-0.09371447563171387, -0.06425376236438751, -0.037291646003723145, 0.010021999478340149, 0.005290701985359192, 0.009048797190189362]","[0.0, 0.0, -0.7848214507102966, 0.055714286863803864, -0.1907142847776413, -0.08571428805589676]","[-0.09371447563171387, -0.06425376236438751, -0.8221130967140198, 0.06573628634214401, -0.1854235827922821, -0.0766654908657074]"
full_state_plus_history,60,0.051450032740831375,"[0.011350750923156738, 0.03210073709487915, -0.041237056255340576, 0.014814372174441814, -0.02254892885684967, 7.777288556098938e-05]","[0.5678571462631226, 0.5866071581840515, 0.675000011920929, -0.02250000089406967, 0.1703571379184723, -0.0]","[0.5792078971862793, 0.6187078952789307, 0.6337629556655884, -0.007685628719627857, 0.14780820906162262, 7.777288556098938e-05]"
full_state_plus_history,38,0.050667088478803635,"[0.02782343327999115, -0.05616224557161331, 0.1857643723487854, 0.009655502624809742, -0.0033630169928073883, -0.003849569708108902]","[-0.1607142835855484, 0.0, -0.21160714328289032, -0.010714286006987095, 0.0, -0.035357143729925156]","[-0.13289085030555725, -0.05616224557161331, -0.02584277093410492, -0.001058783382177353, -0.0033630169928073883, -0.03920671343803406]"
full_state_plus_history,91,0.0506153404712677,"[-0.027805447578430176, 0.050546497106552124, 0.016052663326263428, 0.0007281079888343811, 0.016310811042785645, 0.014502130448818207]","[-0.2705357074737549, -0.2544642984867096, -0.6348214149475098, 0.06750000268220901, -0.17571428418159485, -0.06642857193946838]","[-0.29834115505218506, -0.20391780138015747, -0.6187687516212463, 0.0682281106710434, -0.1594034731388092, -0.05192644149065018]"
full_state_plus_history,30,0.044879261404275894,"[-0.14051802456378937, -0.023060694336891174, -0.049811482429504395, -0.002080591395497322, -0.012135036289691925, 0.005971156060695648]","[-0.06964285671710968, 0.19285714626312256, -0.6723214387893677, -0.010714286006987095, -0.06321428716182709, -0.0]","[-0.21016088128089905, 0.16979645192623138, -0.7221329212188721, -0.012794877402484417, -0.07534932345151901, 0.005971156060695648]"
full_state_plus_history,87,0.042393192648887634,"[0.07851803302764893, 0.08909313380718231, 0.016736090183258057, 0.0024652481079101562, -0.022036954760551453, -0.003555815666913986]","[-0.2946428656578064, -0.2517857253551483, -0.8089285492897034, 0.09000000357627869, -0.1607142835855484, -0.05249999836087227]","[-0.21612483263015747, -0.162692591547966, -0.7921924591064453, 0.09246525168418884, -0.18275123834609985, -0.056055814027786255]"
full_state_plus_history,84,0.040509194135665894,"[-0.06776206195354462, -0.0601809024810791, -0.0253143310546875, 0.010242253541946411, 0.0020149648189544678, 0.004975497722625732]","[-0.0535714291036129, -0.02678571455180645, -0.7955357432365417, 0.06321428716182709, -0.18642857670783997, -0.07500000298023224]","[-0.12133349478244781, -0.0869666188955307, -0.8208500742912292, 0.0734565407037735, -0.1844136118888855, -0.0700245052576065]"
action_history_gru,94,0.3004019260406494,"[-0.015775978565216064, -0.2043801099061966, -0.018307358026504517, 0.03223314508795738, 0.01955033838748932, -0.000721074640750885]","[-0.2544642984867096, -0.010714286006987095, -0.4660714268684387, 0.008571428246796131, -0.14678572118282318, -0.0535714291036129]","[-0.27024027705192566, -0.2150944024324417, -0.48437878489494324, 0.04080457240343094, -0.12723538279533386, -0.054292503744363785]"
action_history_gru,95,0.1352531462907791,"[0.025542259216308594, -0.16344113647937775, -0.006255209445953369, 0.017101652920246124, 0.024989083409309387, 0.0035142600536346436]","[-0.2705357074737549, 0.0, -0.4178571403026581, 0.0, -0.13928571343421936, -0.051428571343421936]","[-0.2449934482574463, -0.16344113647937775, -0.42411234974861145, 0.017101652920246124, -0.11429663002490997, -0.04791431128978729]"
action_history_gru,86,0.1267097443342209,"[0.03980134427547455, 0.06903916597366333, 0.0054305195808410645, -0.01261436939239502, -0.02976711094379425, -0.01948835700750351]","[-0.2008928507566452, -0.18482142686843872, -0.8196428418159485, 0.08571428805589676, -0.1639285683631897, -0.055714286863803864]","[-0.16109150648117065, -0.11578226089477539, -0.8142123222351074, 0.07309991866350174, -0.19369567930698395, -0.07520264387130737]"
action_history_gru,87,0.1166088655591011,"[0.08800709247589111, 0.09475241601467133, 0.012713193893432617, -0.010269604623317719, -0.02954348921775818, -0.016155969351530075]","[-0.2946428656578064, -0.2517857253551483, -0.8089285492897034, 0.09000000357627869, -0.1607142835855484, -0.05249999836087227]","[-0.20663577318191528, -0.157033309340477, -0.7962153553962708, 0.07973039895296097, -0.19025777280330658, -0.06865596771240234]"
action_history_gru,85,0.08112455159425735,"[-0.00449167937040329, 0.028496041893959045, 0.011832118034362793, -0.014278478920459747, -0.023880809545516968, -0.013543844223022461]","[-0.12321428209543228, -0.11517857015132904, -0.8276785612106323, 0.07821428775787354, -0.17142857611179352, -0.06642857193946838]","[-0.12770596146583557, -0.08668252825737, -0.8158464431762695, 0.06393580883741379, -0.19530938565731049, -0.07997241616249084]"
action_history_gru,19,0.07696094363927841,"[-0.02085837721824646, 0.03558652102947235, 0.020650625228881836, -0.00686066597700119, -0.010907642543315887, 0.018574565649032593]","[0.3080357015132904, 0.07232142984867096, -0.84375, 0.04821428656578064, -0.05892857164144516, -0.0535714291036129]","[0.28717732429504395, 0.10790795087814331, -0.8230993747711182, 0.04135362058877945, -0.06983621418476105, -0.03499686345458031]"
action_history_gru,22,0.07461649924516678,"[0.02120913565158844, 0.06476277858018875, 0.006704211235046387, -0.0010518170893192291, -0.017671436071395874, 0.017842572182416916]","[0.0669642835855484, 0.008035714738070965, -0.9375, 0.04178571328520775, -0.04821428656578064, -0.0771428570151329]","[0.08817341923713684, 0.07279849052429199, -0.9307957887649536, 0.04073389619588852, -0.06588572263717651, -0.05930028483271599]"
action_history_gru,25,0.07293998450040817,"[0.045229025185108185, 0.0671025961637497, 0.029575586318969727, 0.016902880743145943, -0.002457045018672943, -0.00598493218421936]","[-0.1607142835855484, 0.0026785715017467737, -0.9375, 0.0010714285308495164, -0.062142856419086456, -0.034285712987184525]","[-0.11548525840044022, 0.06978116929531097, -0.9079244136810303, 0.017974309623241425, -0.0645999014377594, -0.040270645171403885]"
action_history_gru,20,0.07124868780374527,"[-0.0070188939571380615, 0.057229988276958466, 0.005678296089172363, -0.011488303542137146, -0.030632037669420242, 0.011403210461139679]","[0.2276785671710968, 0.03482142835855484, -0.8812500238418579, 0.055714286863803864, -0.03857142850756645, -0.061071429401636124]","[0.22065967321395874, 0.0920514166355133, -0.8755717277526855, 0.04422598332166672, -0.0692034661769867, -0.049668218940496445]"
action_history_gru,98,0.06931912899017334,"[-0.025790512561798096, -0.10192808508872986, -0.029077798128128052, -0.013814173638820648, -0.019626472145318985, 0.0013225935399532318]","[-0.1339285671710968, 0.0535714291036129, -0.19285714626312256, 0.0, -0.040714286267757416, -0.04500000178813934]","[-0.1597190797328949, -0.04835665598511696, -0.2219349443912506, -0.013814173638820648, -0.0603407584130764, -0.04367740824818611]"
last_action,94,0.344510555267334,"[0.016071438789367676, -0.1741071343421936, -0.08303570747375488, 0.03642857447266579, 0.0, -0.011785712093114853]","[-0.2544642984867096, -0.010714286006987095, -0.4660714268684387, 0.008571428246796131, -0.14678572118282318, -0.0535714291036129]","[-0.23839285969734192, -0.18482142686843872, -0.5491071343421936, 0.04500000178813934, -0.14678572118282318, -0.06535714119672775]"
