epoch,split,total_loss,patch_cosine_loss,action_loss,patch_mse,patch_cosine_error,patch_mean_cosine_error,patch_cosine_error_by_horizon,patch_mse_by_horizon,action_mse,action_mse_by_horizon,steps,samples
1,train,0.089334,0.089334,0.000000,2.554404,0.089334,0.029633,"[0.08542929589748383, 0.09323899447917938]","[2.8421530723571777, 2.2666568756103516]",0.000000,[],1558,49843
1,val,0.045643,0.045643,0.000000,2.546319,0.045643,0.019174,"[0.04129480570554733, 0.04999108240008354]","[2.821782112121582, 2.2708566188812256]",0.000000,[],174,5539
2,train,0.054227,0.054227,0.000000,2.685916,0.054227,0.017946,"[0.05030909180641174, 0.05814497917890549]","[2.9298183917999268, 2.4420130252838135]",0.000000,[],1558,49843
2,val,0.039213,0.039213,0.000000,2.745549,0.039213,0.017185,"[0.0353582501411438, 0.043068427592515945]","[2.974165678024292, 2.516932487487793]",0.000000,[],174,5539
3,train,0.049836,0.049836,0.000000,2.829060,0.049836,0.016940,"[0.04632331058382988, 0.05334801226854324]","[3.0409748554229736, 2.617144823074341]",0.000000,[],1558,49843
3,val,0.036672,0.036672,0.000000,2.866167,0.036672,0.016716,"[0.03310749679803848, 0.04023709148168564]","[3.070289134979248, 2.662045478820801]",0.000000,[],174,5539
4,train,0.047865,0.047865,0.000000,2.915784,0.047865,0.016594,"[0.0446157231926918, 0.05111358314752579]","[3.1100971698760986, 2.7214694023132324]",0.000000,[],1558,49843
4,val,0.035328,0.035328,0.000000,2.940479,0.035328,0.016197,"[0.03193330019712448, 0.0387226864695549]","[3.129613161087036, 2.7513442039489746]",0.000000,[],174,5539
5,train,0.046723,0.046723,0.000000,2.979568,0.046723,0.016392,"[0.04364103078842163, 0.04980570450425148]","[3.1621811389923096, 2.7969563007354736]",0.000000,[],1558,49843
5,val,0.034546,0.034546,0.000000,2.995736,0.034546,0.016190,"[0.03123139776289463, 0.037861354649066925]","[3.1758012771606445, 2.815671682357788]",0.000000,[],174,5539
6,train,0.045963,0.045963,0.000000,3.028155,0.045963,0.016283,"[0.04299620911478996, 0.04892962425947189]","[3.2023422718048096, 2.85396671295166]",0.000000,[],1558,49843
6,val,0.033995,0.033995,0.000000,3.036177,0.033995,0.016138,"[0.03082783706486225, 0.0371621772646904]","[3.209083080291748, 2.8632709980010986]",0.000000,[],174,5539
7,train,0.045423,0.045423,0.000000,3.066106,0.045423,0.016225,"[0.04254470765590668, 0.04830026626586914]","[3.234224796295166, 2.8979861736297607]",0.000000,[],1558,49843
7,val,0.033553,0.033553,0.000000,3.073247,0.033553,0.015994,"[0.030470388010144234, 0.03663498908281326]","[3.2401769161224365, 2.9063165187835693]",0.000000,[],174,5539
8,train,0.045015,0.045015,0.000000,3.096296,0.045015,0.016179,"[0.042205944657325745, 0.047823142260313034]","[3.2598280906677246, 2.932766914367676]",0.000000,[],1558,49843
8,val,0.033216,0.033216,0.000000,3.101317,0.033216,0.015975,"[0.030103709548711777, 0.03632906824350357]","[3.263841152191162, 2.9387917518615723]",0.000000,[],174,5539
9,train,0.044690,0.044690,0.000000,3.123376,0.044690,0.016162,"[0.04193978011608124, 0.04744052514433861]","[3.282954692840576, 2.9638006687164307]",0.000000,[],1558,49843
9,val,0.033092,0.033092,0.000000,3.116369,0.033092,0.016476,"[0.030214805155992508, 0.03596889600157738]","[3.277712821960449, 2.955023765563965]",0.000000,[],174,5539
10,train,0.044426,0.044426,0.000000,3.147525,0.044426,0.016163,"[0.04171758145093918, 0.04713480547070503]","[3.303868293762207, 2.991182327270508]",0.000000,[],1558,49843
10,val,0.032848,0.032848,0.000000,3.153109,0.032848,0.015982,"[0.02967171184718609, 0.036023832857608795]","[3.308593988418579, 2.9976234436035156]",0.000000,[],174,5539
11,train,0.044192,0.044192,0.000000,3.169836,0.044192,0.016159,"[0.04152406379580498, 0.046860892325639725]","[3.323188304901123, 3.016484022140503]",0.000000,[],1558,49843
11,val,0.032612,0.032612,0.000000,3.169317,0.032612,0.016005,"[0.029547370970249176, 0.035677265375852585]","[3.3225924968719482, 3.016040802001953]",0.000000,[],174,5539
12,train,0.043997,0.043997,0.000000,3.190052,0.043997,0.016176,"[0.04136550426483154, 0.04662870243191719]","[3.340867280960083, 3.039236068725586]",0.000000,[],1558,49843
12,val,0.032513,0.032513,0.000000,3.193613,0.032513,0.015833,"[0.029717542231082916, 0.03530799597501755]","[3.3443195819854736, 3.0429069995880127]",0.000000,[],174,5539
13,train,0.043828,0.043828,0.000000,3.208670,0.043828,0.016231,"[0.04122871905565262, 0.04642714932560921]","[3.3573451042175293, 3.0599918365478516]",0.000000,[],1558,49843
13,val,0.032500,0.032500,0.000000,3.201343,0.032500,0.016601,"[0.029562601819634438, 0.035437360405921936]","[3.351484537124634, 3.0512022972106934]",0.000000,[],174,5539
14,train,0.043687,0.043687,0.000000,3.227520,0.043687,0.016275,"[0.041112545877695084, 0.04626183956861496]","[3.3742244243621826, 3.0808205604553223]",0.000000,[],1558,49843
14,val,0.032295,0.032295,0.000000,3.230291,0.032295,0.016481,"[0.02947831153869629, 0.03511166572570801]","[3.3768093585968018, 3.083773612976074]",0.000000,[],174,5539
15,train,0.043538,0.043538,0.000000,3.247184,0.043538,0.016338,"[0.04098695516586304, 0.04608864337205887]","[3.3917627334594727, 3.1026058197021484]",0.000000,[],1558,49843
15,val,0.032040,0.032040,0.000000,3.255056,0.032040,0.016254,"[0.029118020087480545, 0.03496182709932327]","[3.3982932567596436, 3.111818313598633]",0.000000,[],174,5539
16,train,0.043420,0.043420,0.000000,3.265384,0.043420,0.016428,"[0.04089405760169029, 0.04594680666923523]","[3.4080810546875, 3.122689962387085]",0.000000,[],1558,49843
16,val,0.032053,0.032053,0.000000,3.265343,0.032053,0.016215,"[0.029151558876037598, 0.034953657537698746]","[3.4086763858795166, 3.1220104694366455]",0.000000,[],174,5539
17,train,0.043309,0.043309,0.000000,3.283939,0.043309,0.016501,"[0.0408012717962265, 0.04581664130091667]","[3.424830198287964, 3.14304780960083]",0.000000,[],1558,49843
17,val,0.031986,0.031986,0.000000,3.286666,0.031986,0.016765,"[0.029057353734970093, 0.034914422780275345]","[3.427584409713745, 3.1457464694976807]",0.000000,[],174,5539
18,train,0.043211,0.043211,0.000000,3.304308,0.043211,0.016617,"[0.04072095453739166, 0.04570066183805466]","[3.4432241916656494, 3.165390968322754]",0.000000,[],1558,49843
18,val,0.031986,0.031986,0.000000,3.303460,0.031986,0.016669,"[0.029191501438617706, 0.03478038311004639]","[3.4436194896698, 3.163299798965454]",0.000000,[],174,5539
19,train,0.043116,0.043116,0.000000,3.322435,0.043116,0.016752,"[0.04064332693815231, 0.04558858647942543]","[3.4597489833831787, 3.1851210594177246]",0.000000,[],1558,49843
19,val,0.031863,0.031863,0.000000,3.319095,0.031863,0.017206,"[0.02913273312151432, 0.034592896699905396]","[3.456954002380371, 3.181234836578369]",0.000000,[],174,5539
20,train,0.043046,0.043046,0.000000,3.340710,0.043046,0.016903,"[0.040589358657598495, 0.04550359025597572]","[3.4764184951782227, 3.2050046920776367]",0.000000,[],1558,49843
20,val,0.031806,0.031806,0.000000,3.335724,0.031806,0.017783,"[0.028973523527383804, 0.03463936969637871]","[3.472262382507324, 3.199185848236084]",0.000000,[],174,5539
21,train,0.042962,0.042962,0.000000,3.359324,0.042962,0.017085,"[0.04051746428012848, 0.045406363904476166]","[3.4935224056243896, 3.225121021270752]",0.000000,[],1558,49843
21,val,0.031540,0.031540,0.000000,3.366853,0.031540,0.017163,"[0.028821932151913643, 0.034257810562849045]","[3.5006906986236572, 3.233015775680542]",0.000000,[],174,5539
22,train,0.042899,0.042899,0.000000,3.378774,0.042899,0.017331,"[0.04046311229467392, 0.045334357768297195]","[3.5114099979400635, 3.2461330890655518]",0.000000,[],1558,49843
22,val,0.031567,0.031567,0.000000,3.380046,0.031567,0.017877,"[0.028740307316184044, 0.03439444303512573]","[3.5136470794677734, 3.2464439868927]",0.000000,[],174,5539
23,train,0.042814,0.042814,0.000000,3.400855,0.042814,0.017625,"[0.04040117934346199, 0.045226894319057465]","[3.531796455383301, 3.2699127197265625]",0.000000,[],1558,49843
23,val,0.031694,0.031694,0.000000,3.405880,0.031694,0.018657,"[0.02903941459953785, 0.03434909135103226]","[3.537367105484009, 3.2743921279907227]",0.000000,[],174,5539
24,train,0.042759,0.042759,0.000000,3.424316,0.042759,0.018007,"[0.04035244509577751, 0.04516540840268135]","[3.553412914276123, 3.295222043991089]",0.000000,[],1558,49843
24,val,0.031576,0.031576,0.000000,3.429062,0.031576,0.018630,"[0.028868138790130615, 0.034284453839063644]","[3.5578436851501465, 3.3002798557281494]",0.000000,[],174,5539
25,train,0.042706,0.042706,0.000000,3.450943,0.042706,0.018474,"[0.04031055048108101, 0.045100968331098557]","[3.5779948234558105, 3.323892593383789]",0.000000,[],1558,49843
25,val,0.031342,0.031342,0.000000,3.459295,0.031342,0.018025,"[0.028449175879359245, 0.03423444554209709]","[3.586277484893799, 3.3323116302490234]",0.000000,[],174,5539
26,train,0.042638,0.042638,0.000000,3.479634,0.042638,0.019044,"[0.04025958850979805, 0.0450158454477787]","[3.6045093536376953, 3.354759931564331]",0.000000,[],1558,49843
26,val,0.031448,0.031448,0.000000,3.477995,0.031448,0.019829,"[0.028806546702980995, 0.03408990800380707]","[3.603947877883911, 3.3520400524139404]",0.000000,[],174,5539
27,train,0.042581,0.042581,0.000000,3.511096,0.042581,0.019767,"[0.04020816832780838, 0.04495447129011154]","[3.633488178253174, 3.3887083530426025]",0.000000,[],1558,49843
27,val,0.031280,0.031280,0.000000,3.522921,0.031280,0.019918,"[0.028619196265935898, 0.03394075855612755]","[3.644481897354126, 3.4013595581054688]",0.000000,[],174,5539
28,train,0.042538,0.042538,0.000000,3.542229,0.042538,0.020590,"[0.04016711935400963, 0.04490901902318001]","[3.6623804569244385, 3.42207932472229]",0.000000,[],1558,49843
28,val,0.031287,0.031287,0.000000,3.546560,0.031287,0.021501,"[0.028763828799128532, 0.03380966559052467]","[3.6670684814453125, 3.4260494709014893]",0.000000,[],174,5539
29,train,0.042481,0.042481,0.000000,3.574874,0.042481,0.021517,"[0.04012521356344223, 0.04483584314584732]","[3.6926987171173096, 3.4570491313934326]",0.000000,[],1558,49843
29,val,0.031169,0.031169,0.000000,3.588560,0.031169,0.022440,"[0.028414063155651093, 0.033922985196113586]","[3.7048256397247314, 3.4722957611083984]",0.000000,[],174,5539
30,train,0.042427,0.042427,0.000000,3.607448,0.042427,0.022434,"[0.04007915407419205, 0.04477417469024658]","[3.722890615463257, 3.492004156112671]",0.000000,[],1558,49843
30,val,0.031140,0.031140,0.000000,3.617638,0.031140,0.023703,"[0.028354067355394363, 0.03392540663480759]","[3.7324070930480957, 3.50287127494812]",0.000000,[],174,5539
31,train,0.042384,0.042384,0.000000,3.638017,0.042384,0.023374,"[0.04004058614373207, 0.044726476073265076]","[3.751265287399292, 3.524771213531494]",0.000000,[],1558,49843
