epoch,split,total_loss,patch_cosine_loss,action_loss,patch_mse,patch_cosine_error,patch_mean_cosine_error,patch_cosine_error_by_horizon,patch_mse_by_horizon,action_mse,action_mse_by_horizon,steps,samples
1,train,0.999227,0.999227,0.000000,1.100930,0.999226,0.995056,"[0.9994564056396484, 0.9989964962005615]","[1.0873911380767822, 1.1144696474075317]",0.000000,[],1,24
1,val,1.000210,1.000210,0.000000,1.115927,1.000210,0.993709,"[0.9999115467071533, 1.0005086660385132]","[1.0964171886444092, 1.1354361772537231]",0.000000,[],1,8
2,train,0.999125,0.999125,0.000000,1.100723,0.999125,0.994797,"[0.9992809295654297, 0.9989700317382812]","[1.0871143341064453, 1.1143319606781006]",0.000000,[],1,24
2,val,1.000205,1.000205,0.000000,1.115883,1.000205,0.993641,"[0.9999091029167175, 1.0005015134811401]","[1.0963788032531738, 1.1353868246078491]",0.000000,[],1,8
3,train,0.998795,0.998795,0.000000,1.100510,0.998795,0.993973,"[0.9989898800849915, 0.9986003041267395]","[1.087010145187378, 1.114009141921997]",0.000000,[],1,24
3,val,1.000199,1.000199,0.000000,1.115817,1.000199,0.993550,"[0.9999061822891235, 1.0004918575286865]","[1.0963220596313477, 1.1353116035461426]",0.000000,[],1,8
4,train,0.999198,0.999198,0.000000,1.100759,0.999198,0.992898,"[0.9992883801460266, 0.9991075396537781]","[1.0871376991271973, 1.1143792867660522]",0.000000,[],1,24
4,val,1.000190,1.000190,0.000000,1.115748,1.000190,0.993419,"[0.9999014139175415, 1.0004785060882568]","[1.0962600708007812, 1.1352366209030151]",0.000000,[],1,8
5,train,0.998705,0.998705,0.000000,1.100307,0.998705,0.991530,"[0.9987974166870117, 0.9986127018928528]","[1.0867347717285156, 1.1138793230056763]",0.000000,[],1,24
5,val,1.000179,1.000179,0.000000,1.115656,1.000179,0.993254,"[0.9998960494995117, 1.0004615783691406]","[1.0961756706237793, 1.1351361274719238]",0.000000,[],1,8
6,train,0.998481,0.998481,0.000000,1.100234,0.998481,0.989995,"[0.9985251426696777, 0.998436689376831]","[1.0865509510040283, 1.1139179468154907]",0.000000,[],1,24
6,val,1.000166,1.000166,0.000000,1.115533,1.000166,0.993057,"[0.999889612197876, 1.000441551208496]","[1.0960651636123657, 1.1350009441375732]",0.000000,[],1,8
7,train,0.998451,0.998451,0.000000,1.100061,0.998451,0.988174,"[0.9984895586967468, 0.9984132647514343]","[1.0863842964172363, 1.1137378215789795]",0.000000,[],1,24
7,val,1.000150,1.000150,0.000000,1.115381,1.000150,0.992817,"[0.9998823404312134, 1.0004173517227173]","[1.0959289073944092, 1.1348321437835693]",0.000000,[],1,8
8,train,0.998461,0.998461,0.000000,1.100031,0.998461,0.985803,"[0.9985554814338684, 0.9983665347099304]","[1.0863525867462158, 1.1137088537216187]",0.000000,[],1,24
8,val,1.000131,1.000131,0.000000,1.115218,1.000131,0.992535,"[0.9998729825019836, 1.0003888607025146]","[1.095784306526184, 1.1346510648727417]",0.000000,[],1,8
9,train,0.997784,0.997784,0.000000,1.099531,0.997784,0.983215,"[0.9977667927742004, 0.997800350189209]","[1.085969090461731, 1.1130939722061157]",0.000000,[],1,24
9,val,1.000109,1.000109,0.000000,1.115010,1.000109,0.992218,"[0.9998598694801331, 1.0003589391708374]","[1.0956025123596191, 1.1344183683395386]",0.000000,[],1,8
10,train,0.997621,0.997621,0.000000,1.099262,0.997621,0.980574,"[0.9980075359344482, 0.9972352385520935]","[1.0859663486480713, 1.112558126449585]",0.000000,[],1,24
10,val,1.000086,1.000086,0.000000,1.114755,1.000086,0.991863,"[0.999845564365387, 1.000326156616211]","[1.0953788757324219, 1.1341304779052734]",0.000000,[],1,8
11,train,0.997202,0.997202,0.000000,1.098986,0.997202,0.977230,"[0.9968662261962891, 0.9975378513336182]","[1.0853354930877686, 1.1126372814178467]",0.000000,[],1,24
11,val,1.000059,1.000059,0.000000,1.114462,1.000059,0.991467,"[0.9998284578323364, 1.0002899169921875]","[1.0951241254806519, 1.1338000297546387]",0.000000,[],1,8
12,train,0.996995,0.996995,0.000000,1.098569,0.996995,0.973443,"[0.9966690540313721, 0.9973217844963074]","[1.084955096244812, 1.1121835708618164]",0.000000,[],1,24
12,val,1.000029,1.000029,0.000000,1.114125,1.000029,0.991013,"[0.9998085498809814, 1.0002490282058716]","[1.0948336124420166, 1.1334153413772583]",0.000000,[],1,8
13,train,0.996236,0.996236,0.000000,1.098017,0.996236,0.969962,"[0.9963814616203308, 0.996091365814209]","[1.0846850872039795, 1.111348032951355]",0.000000,[],1,24
13,val,0.999999,0.999999,0.000000,1.113729,0.999999,0.990553,"[0.9997901320457458, 1.0002081394195557]","[1.0944950580596924, 1.1329619884490967]",0.000000,[],1,8
14,train,0.995824,0.995824,0.000000,1.097580,0.995824,0.965795,"[0.9957051277160645, 0.995943546295166]","[1.084130883216858, 1.111029028892517]",0.000000,[],1,24
14,val,0.999968,0.999968,0.000000,1.113277,0.999968,0.990048,"[0.9997715950012207, 1.0001640319824219]","[1.0941128730773926, 1.1324409246444702]",0.000000,[],1,8
15,train,0.995697,0.995697,0.000000,1.097191,0.995697,0.961185,"[0.9955158233642578, 0.9958791732788086]","[1.08382248878479, 1.1105597019195557]",0.000000,[],1,24
15,val,0.999936,0.999936,0.000000,1.112756,0.999936,0.989526,"[0.9997535943984985, 1.0001189708709717]","[1.093671202659607, 1.1318405866622925]",0.000000,[],1,8
16,train,0.995080,0.995080,0.000000,1.096530,0.995080,0.956626,"[0.9951842427253723, 0.9949765205383301]","[1.0834797620773315, 1.1095798015594482]",0.000000,[],1,24
16,val,0.999906,0.999906,0.000000,1.112133,0.999906,0.989006,"[0.9997342228889465, 1.000077486038208]","[1.0931458473205566, 1.1311194896697998]",0.000000,[],1,8
17,train,0.994786,0.994786,0.000000,1.095919,0.994786,0.951891,"[0.9946622848510742, 0.9949091076850891]","[1.0827972888946533, 1.1090413331985474]",0.000000,[],1,24
17,val,0.999872,0.999872,0.000000,1.111439,0.999872,0.988450,"[0.9997082948684692, 1.000036597251892]","[1.0925624370574951, 1.1303162574768066]",0.000000,[],1,8
18,train,0.994032,0.994032,0.000000,1.095033,0.994032,0.946519,"[0.9939691424369812, 0.994095504283905]","[1.0821539163589478, 1.1079130172729492]",0.000000,[],1,24
18,val,0.999840,0.999840,0.000000,1.110644,0.999840,0.987872,"[0.999681830406189, 0.9999973177909851]","[1.0918974876403809, 1.129390001296997]",0.000000,[],1,8
19,train,0.993501,0.993501,0.000000,1.094247,0.993501,0.940845,"[0.9936573505401611, 0.9933445453643799]","[1.0816712379455566, 1.1068227291107178]",0.000000,[],1,24
