epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
0,train,0.05928122199,0.04471112687,raw_action_units,0.01457009526,0.01457009526,1.186768577,"[0.0143596325, 0.0145564256, 0.0147394137, 0.0146249114]","[1.1639205217, 1.2392013073, 1.1551938057, 1.1887580156]","[0.0275273472, 0.0396492966, 0.0501081422, 0.0603071563]","[0.0365653038, 0.0259204712, 0.0445183888, 0.0029296051, 0.0055262805, 0.0042058267, 0.1911201328]",0,0.04471112485,raw_action_units,1315,42067,769564,769564,true
0,val,0.02855509851,0.02611799941,raw_action_units,0.002437099113,0.002437099113,1.312541605,"[0.0020858883, 0.0022851452, 0.0025650898, 0.0028122733]","[1.3179030418, 1.3507065773, 1.2770369053, 1.3045203686]","[0.0129089076, 0.0220157597, 0.0303128287, 0.0383671969]","[0.0120350644, 0.0136333173, 0.0139526241, 0.0017277991, 0.00335727, 0.0019871141, 0.1346149743]",0,0.02611799829,raw_action_units,190,6073,769564,769564,true
1,train,0.0315875063,0.02885817295,raw_action_units,0.002729333406,0.002729333406,1.435149712,"[0.0022036256, 0.0025825703, 0.0029124531, 0.0032186853]","[1.4468442202, 1.478173852, 1.4036749601, 1.4119055271]","[0.013799279, 0.0241039433, 0.0340965129, 0.0433440991]","[0.0161182955, 0.0106769856, 0.0183815993, 0.0018582118, 0.0030965675, 0.0025649751, 0.1491550952]",0,0.02885817162,raw_action_units,1315,42067,769564,769564,true
1,val,0.02650214978,0.02444461696,raw_action_units,0.002057532862,0.002057532863,1.504435903,"[0.0016475215, 0.001924463, 0.0022008251, 0.0024573223]","[1.5308177471, 1.5363746881, 1.478839159, 1.471711874]","[0.0108942427, 0.0202013496, 0.0284365546, 0.0374732502]","[0.0115591735, 0.008477997, 0.0111634862, 0.0010515514, 0.001636754, 0.0018665045, 0.1340039372]",0,0.02444461583,raw_action_units,190,6073,769564,769564,true
2,train,0.02870151987,0.02641090817,raw_action_units,0.002290611639,0.002290611639,1.50953519,"[0.0017472929, 0.0021390065, 0.0024789425, 0.0027972059]","[1.5357172489, 1.5510251522, 1.4775853157, 1.473813653]","[0.0124097038, 0.0221244674, 0.0312569737, 0.0397756696]","[0.013763411, 0.009094269, 0.0157146081, 0.0014946014, 0.0018109548, 0.0014278344, 0.1414362937]",0,0.02641090705,raw_action_units,1315,42067,769564,769564,true
2,val,0.02547947969,0.02378826582,raw_action_units,0.001691213784,0.001691213785,1.484570918,"[0.0012904918, 0.0015721854, 0.0018170831, 0.002085095]","[1.5333180428, 1.5129461288, 1.4464914799, 1.4455280304]","[0.010921441, 0.0193418954, 0.0284097176, 0.0357343629]","[0.0133390473, 0.0097958623, 0.0094302138, 0.0008920031, 0.0015940105, 0.000899616, 0.1292622238]",0,0.02378826471,raw_action_units,190,6073,769564,769564,true
3,train,0.02720690866,0.02516545148,raw_action_units,0.002041457204,0.002041457204,1.46165985,"[0.0014809797, 0.0018919738, 0.0022351618, 0.0025577142]","[1.5066637993, 1.4977421761, 1.4224524498, 1.4197803736]","[0.0118817296, 0.0210713614, 0.0297313314, 0.0379427224]","[0.0129615739, 0.0086980369, 0.0144413589, 0.0012500552, 0.0015594364, 0.001006722, 0.1361804157]",0,0.02516545035,raw_action_units,1315,42067,769564,769564,true
3,val,0.02466469684,0.02305249164,raw_action_units,0.001612205198,0.001612205198,1.397256468,"[0.001177654, 0.0014744931, 0.0017515728, 0.0020451015]","[1.4553039074, 1.4306442738, 1.3496578932, 1.3534201384]","[0.0115037309, 0.0184844621, 0.0276801977, 0.0340031832]","[0.0111442152, 0.0091320444, 0.0087491106, 0.0009600061, 0.0013762118, 0.0008231982, 0.1282404661]",0,0.02305249066,raw_action_units,190,6073,769564,769564,true
4,train,0.02629331141,0.02439647333,raw_action_units,0.001896838072,0.001896838072,1.295911335,"[0.0013333032, 0.0017526426, 0.0020913777, 0.0024100284]","[1.3521332741, 1.3327568769, 1.2467268705, 1.2520281076]","[0.0116287209, 0.0204679873, 0.0288582873, 0.0365727618]","[0.0125267264, 0.0083243269, 0.0139248129, 0.0010894546, 0.0015427775, 0.0009582259, 0.132307142]",0,0.02439647223,raw_action_units,1315,42067,769564,769564,true
4,val,0.02511169953,0.02365176523,raw_action_units,0.001459934338,0.001459934339,1.152762799,"[0.0010369049, 0.0013307014, 0.0015963775, 0.001875753]","[1.2126487494, 1.1830509901, 1.1061335802, 1.1092184782]","[0.0116832303, 0.0185882449, 0.0261318553, 0.0376666822]","[0.0100021437, 0.009182496, 0.0097511914, 0.0006116068, 0.0013698885, 0.0007045435, 0.133000657]",0,0.02365176432,raw_action_units,190,6073,769564,769564,true
