run_id,model,split,trajectory_id,time_index,target_action_index,horizon,expert_action,pred_action,expert_action_norm,pred_action_norm,expert_gripper,pred_gripper,cosine_similarity,per_dimension_error,squared_error
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,3,4,0,"[0.01875000074505806, -0.3348214328289032, -0.07232142984867096, 0.0, 0.0503571443259716, -0.0, -1.0]","[0.04071401059627533, -0.2663480341434479, 0.03927972912788391, 0.0021406784653663635, 0.06480750441551208, -0.02218625694513321, -0.9694046974182129]",1.058405995,1.00924933,-1,-0.9694046974,0.9921122193,"[0.02196400985121727, 0.06847339868545532, 0.11160115897655487, 0.0021406784653663635, 0.014450360089540482, -0.02218625694513321, 0.03059530258178711]",0.002752505708
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,3,5,1,"[0.008035714738070965, -0.42053571343421936, -0.12857143580913544, 0.0, 0.03857142850756645, -0.0, -1.0]","[0.09948467463254929, -0.2617669701576233, 0.010239619761705399, -0.00030507892370224, 0.058232519775629044, -0.020805012434720993, -1.0052003860473633]",1.093129992,1.045359135,-1,-1.005200386,0.9775081873,"[0.09144896268844604, 0.15876874327659607, 0.13881105184555054, -0.00030507892370224, 0.01966109126806259, -0.020805012434720993, -0.005200386047363281]",0.007669354323
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,3,6,2,"[0.0, -0.5785714387893677, -0.18482142686843872, 0.0, 0.019285714253783226, -0.0, -1.0]","[0.11595523357391357, -0.23080585896968842, -0.004779086448252201, -0.002942606806755066, 0.047095101326704025, -0.017566494643688202, -0.9523426294326782]",1.170160532,0.9880442619,-1,-0.9523426294,0.9407539964,"[0.11595523357391357, 0.34776556491851807, 0.1800423413515091, -0.002942606806755066, 0.0278093870729208, -0.017566494643688202, 0.04765737056732178]",0.02430908196
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,3,7,3,"[0.0, -0.6803571581840515, -0.2142857164144516, 0.014999999664723873, 0.003214285708963871, -0.0, -1.0]","[0.1539955735206604, -0.21814337372779846, -0.03633810579776764, 0.008067794144153595, 0.05765755847096443, -0.006237875670194626, -0.9650384187698364]",1.228429675,1.003667831,-1,-0.9650384188,0.9096558094,"[0.1539955735206604, 0.46221378445625305, 0.17794761061668396, -0.006932205520570278, 0.054443273693323135, -0.006237875670194626, 0.034961581230163574]",0.03904212639
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,4,5,0,"[0.008035714738070965, -0.42053571343421936, -0.12857143580913544, 0.0, 0.03857142850756645, -0.0, -1.0]","[0.05447937548160553, -0.40722137689590454, -0.05824226886034012, 0.009233739227056503, 0.06115894764661789, -0.02735571563243866, -0.9923617839813232]",1.093129992,1.077750206,-1,-0.992361784,0.9964153767,"[0.04644365981221199, 0.01331433653831482, 0.07032916694879532, 0.009233739227056503, 0.022587519139051437, -0.02735571563243866, 0.007638216018676758]",0.00124037324
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,4,6,1,"[0.0, -0.5785714387893677, -0.18482142686843872, 0.0, 0.019285714253783226, -0.0, -1.0]","[0.09388794749975204, -0.40860986709594727, -0.11795690655708313, 0.011778494343161583, 0.0520552396774292, -0.020173557102680206, -1.0277456045150757]",1.170160532,1.117679358,-1,-1.027745605,0.9840168953,"[0.09388794749975204, 0.1699615716934204, 0.06686452031135559, 0.011778494343161583, 0.032769523561000824, -0.020173557102680206, -0.027745604515075684]",0.006366015878
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,4,7,2,"[0.0, -0.6803571581840515, -0.2142857164144516, 0.014999999664723873, 0.003214285708963871, -0.0, -1.0]","[0.09177198261022568, -0.3655133545398712, -0.15437966585159302, 0.008072290569543839, 0.04040544852614403, -0.01743929833173752, -0.9724212884902954]",1.228429675,1.055206299,-1,-0.9724212885,0.9677426219,"[0.09177198261022568, 0.3148438036441803, 0.05990605056285858, -0.006927709095180035, 0.03719116374850273, -0.01743929833173752, 0.02757871150970459]",0.01623333618
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,4,8,3,"[0.0, -0.7392857074737549, -0.23571428656578064, 0.029999999329447746, 0.0, -0.0, -1.0]","[0.12590210139751434, -0.34938308596611023, -0.19647178053855896, 0.019734736531972885, 0.04628321900963783, -0.005928676575422287, -0.9826993346214294]",1.266098142,1.069946647,-1,-0.9826993346,0.9507174492,"[0.12590210139751434, 0.38990262150764465, 0.03924250602722168, -0.010265262797474861, 0.04628321900963783, -0.005928676575422287, 0.017300665378570557]",0.02457104996
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,5,6,0,"[0.0, -0.5785714387893677, -0.18482142686843872, 0.0, 0.019285714253783226, -0.0, -1.0]","[0.024516701698303223, -0.46869438886642456, -0.12210925668478012, 0.00859227403998375, 0.046096689999103546, -0.025387339293956757, -0.9647765159606934]",1.170160532,1.081121206,-1,-0.964776516,0.995511651,"[0.024516701698303223, 0.10987704992294312, 0.0627121701836586, 0.00859227403998375, 0.02681097574532032, -0.025387339293956757, 0.03522348403930664]",0.002754959976
20260528_081325_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_future_seed0,wam_gru_dinov2s_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,5,7,1,"[0.0, -0.6803571581840515, -0.2142857164144516, 0.014999999664723873, 0.003214285708963871, -0.0, -1.0]","[0.0463869646191597, -0.4627736806869507, -0.1820937842130661, 0.010841665789484978, 0.03252507001161575, -0.013102099299430847, -0.97479647397995]",1.228429675,1.095921874,-1,-0.974796474,0.9871289134,"[0.0463869646191597, 0.21758347749710083, 0.0321919322013855, -0.004158333875238895, 0.029310785233974457, -0.013102099299430847, 0.02520352602005005]",0.007459133863
