epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
0,train,0.04393729991,0.04393729991,raw_action_units,0.9930955659,0.9930955659,5.395041371,"[0.999127984, 0.9800761342, 1.0097008944, 0.9834737182]","[5.4069361687, 5.3727693558, 5.4227614403, 5.3776974678]","[0.027350923, 0.0388221629, 0.0495016128, 0.0588218682]","[0.035665866, 0.0258341655, 0.0433547199, 0.0026322186, 0.0049699866, 0.0039284341, 0.1889837831]",0,0.0439372999,raw_action_units,1315,42067,769564,769564,true
0,val,0.02596617674,0.02596617674,raw_action_units,0.9928913103,0.9928913104,5.395592797,"[1.0092765093, 0.9864401817, 1.0141351223, 0.9617133141]","[5.4198765755, 5.3857727051, 5.4231448174, 5.3535785675]","[0.0128378272, 0.0220253188, 0.0302326307, 0.0378767513]","[0.0129272463, 0.0132983988, 0.0159766674, 0.001977795, 0.0040316903, 0.002429093, 0.1295610517]",0,0.0259661768,raw_action_units,190,6073,769564,769564,true
1,train,0.02830687369,0.02830687369,raw_action_units,0.9986349907,0.9986349907,5.373381366,"[0.9977416992, 1.0002624989, 1.0279173851, 0.9686185122]","[5.3740887642, 5.3724393845, 5.4139976501, 5.3329930305]","[0.0138251074, 0.023960907, 0.0334135033, 0.0419377871]","[0.0165927839, 0.0107488912, 0.0179921743, 0.0015083021, 0.0031245688, 0.0026373919, 0.1453861445]",0,0.02830687367,raw_action_units,1315,42067,769564,769564,true
1,val,0.02548609485,0.02548609485,raw_action_units,0.9977091836,0.9977091835,5.397890535,"[1.000793457, 0.9940237999, 1.030526042, 0.9654940367]","[5.4045977592, 5.3912110329, 5.4374551773, 5.3582968712]","[0.0129266065, 0.0205498394, 0.0288330242, 0.0388641097]","[0.0112088006, 0.0096279588, 0.0117575778, 0.0012980681, 0.0022563036, 0.001866716, 0.1390383244]",0,0.02548609479,raw_action_units,190,6073,769564,769564,true
2,train,0.02585144196,0.02585144196,raw_action_units,1.000483964,1.000483964,5.379587279,"[0.9988854527, 0.9995135069, 1.0289788246, 0.9745583534]","[5.3801722527, 5.3746132851, 5.419875145, 5.3436918259]","[0.0123603558, 0.0218323525, 0.0306044612, 0.0385300145]","[0.0141186034, 0.0089718103, 0.0158595927, 0.0012596913, 0.0018817489, 0.0019827648, 0.1367483139]",0,0.02585144193,raw_action_units,1315,42067,769564,769564,true
2,val,0.02358069263,0.02358069263,raw_action_units,1.008336959,1.008336959,5.425679645,"[1.013999939, 1.0084372759, 1.0283727646, 0.9825382829]","[5.4393863678, 5.4227209091, 5.4494085312, 5.3912024498]","[0.0116635086, 0.0197830833, 0.0276593529, 0.0345484428]","[0.0126650408, 0.0080004157, 0.0138894701, 0.0010151548, 0.0016087074, 0.001340078, 0.1253763437]",0,0.02358069266,raw_action_units,190,6073,769564,769564,true
3,train,0.02444621952,0.02444621952,raw_action_units,1.002956443,1.002956443,5.386834197,"[1.004553318, 1.0029574633, 1.0285722017, 0.9757442474]","[5.3926968575, 5.3826475143, 5.4243607521, 5.3476262093]","[0.011751852, 0.0206312742, 0.0288727768, 0.036494188]","[0.0130726779, 0.008367016, 0.0145773944, 0.0011720788, 0.0016153859, 0.0012883894, 0.1309696287]",0,0.02444621951,raw_action_units,1315,42067,769564,769564,true
3,val,0.02308304412,0.02308304412,raw_action_units,1.009414992,1.009414993,5.42768595,"[1.0178772211, 1.0259985924, 1.0234311819, 0.9703537822]","[5.4428815842, 5.4445710182, 5.4494986534, 5.3737902641]","[0.011046689, 0.0196050778, 0.0275717005, 0.0335483849]","[0.0117989713, 0.012761998, 0.010673603, 0.0008285827, 0.0019566917, 0.0009915449, 0.1215892956]",0,0.02308304407,raw_action_units,190,6073,769564,769564,true
4,train,0.02368077016,0.02368077016,raw_action_units,1.004267241,1.004267241,5.393658234,"[1.0079748631, 1.0075109005, 1.0291111469, 0.9724734426]","[5.4025211334, 5.3938503265, 5.4311733246, 5.3470797539]","[0.0114647048, 0.0199741833, 0.027962856, 0.0352640301]","[0.0127340965, 0.0081612235, 0.013795956, 0.0010728562, 0.001567814, 0.0011024514, 0.1272307783]",0,0.02368077015,raw_action_units,1315,42067,769564,769564,true
4,val,0.02261963538,0.02261963538,raw_action_units,1.018807597,1.018807597,5.451493307,"[1.0278394222, 1.0329133272, 1.0247719288, 0.9897059798]","[5.46839571, 5.4679946899, 5.4587535858, 5.4108309746]","[0.0123326797, 0.0187921543, 0.0251996256, 0.0337002166]","[0.0101735285, 0.0073111076, 0.0119885849, 0.0007756669, 0.0014823951, 0.0008684785, 0.1249434352]",0,0.02261963543,raw_action_units,190,6073,769564,769564,true
