run_id,model,split,trajectory_id,time_index,target_action_index,horizon,expert_action,pred_action,expert_action_norm,pred_action_norm,expert_gripper,pred_gripper,cosine_similarity,per_dimension_error,squared_error
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,3,4,0,"[0.01875000074505806, -0.3348214328289032, -0.07232142984867096, 0.0, 0.0503571443259716, -0.0, -1.0]","[0.01923343911767006, -0.2716594338417053, -0.008925600908696651, 0.010172083973884583, 0.06907880306243896, -0.02227693423628807, -0.9931199550628662]",1.058405995,1.032427907,-1,-0.9931199551,0.9961877465,"[0.0004834383726119995, 0.06316199898719788, 0.06339582800865173, 0.010172083973884583, 0.01872165873646736, -0.02227693423628807, 0.006880044937133789]",0.00128661003
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,3,5,1,"[0.008035714738070965, -0.42053571343421936, -0.12857143580913544, 0.0, 0.03857142850756645, -0.0, -1.0]","[0.06286482512950897, -0.26031750440597534, -0.03034353256225586, 0.005757022649049759, 0.06983169168233871, -0.026549534872174263, -1.0227925777435303]",1.093129992,1.060357094,-1,-1.022792578,0.9829672575,"[0.05482910946011543, 0.16021820902824402, 0.09822790324687958, 0.005757022649049759, 0.03126026317477226, -0.026549534872174263, -0.022792577743530273]",0.005794222001
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,3,6,2,"[0.0, -0.5785714387893677, -0.18482142686843872, 0.0, 0.019285714253783226, -0.0, -1.0]","[0.08617983013391495, -0.22559179365634918, -0.07059365510940552, -4.9192458391189575e-06, 0.06520965695381165, -0.01811021938920021, -0.9781613945960999]",1.170160532,1.012265801,-1,-0.9781613946,0.9480577707,"[0.08617983013391495, 0.3529796600341797, 0.1142277717590332, -4.9192458391189575e-06, 0.04592394083738327, -0.01811021938920021, 0.021838605403900146]",0.0211405009
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,3,7,3,"[0.0, -0.6803571581840515, -0.2142857164144516, 0.014999999664723873, 0.003214285708963871, -0.0, -1.0]","[0.12391919642686844, -0.21204566955566406, -0.1155693382024765, -0.004883451387286186, 0.056786663830280304, -0.014656558632850647, -0.9832296967506409]",1.228429675,1.021704316,-1,-0.9832296968,0.9181563258,"[0.12391919642686844, 0.46831148862838745, 0.0987163782119751, -0.019883450120687485, 0.05357237905263901, -0.014656558632850647, 0.01677030324935913]",0.03545399383
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,4,5,0,"[0.008035714738070965, -0.42053571343421936, -0.12857143580913544, 0.0, 0.03857142850756645, -0.0, -1.0]","[0.01322995126247406, -0.4186444878578186, -0.11830873787403107, 0.01982312649488449, 0.07456403970718384, -0.028687937185168266, -1.0341143608093262]",1.093129992,1.124990463,-1,-1.034114361,0.9988631606,"[0.005194236524403095, 0.0018912255764007568, 0.01026269793510437, 0.01982312649488449, 0.035992611199617386, -0.028687937185168266, -0.03411436080932617]",0.0005444416893
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,4,6,1,"[0.0, -0.5785714387893677, -0.18482142686843872, 0.0, 0.019285714253783226, -0.0, -1.0]","[0.040318019688129425, -0.41463929414749146, -0.1667836606502533, 0.018312066793441772, 0.0723666176199913, -0.03233034536242485, -1.0868117809295654]",1.170160532,1.1786201,-1,-1.086811781,0.985321939,"[0.040318019688129425, 0.16393214464187622, 0.018037766218185425, 0.018312066793441772, 0.05308090150356293, -0.03233034536242485, -0.08681178092956543]",0.005794157274
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,4,7,2,"[0.0, -0.6803571581840515, -0.2142857164144516, 0.014999999664723873, 0.003214285708963871, -0.0, -1.0]","[0.055300042033195496, -0.37427133321762085, -0.22971566021442413, 0.014169832691550255, 0.06543156504631042, -0.020779523998498917, -1.0384629964828491]",1.228429675,1.131028652,-1,-1.038462996,0.9664310217,"[0.055300042033195496, 0.30608582496643066, -0.015429943799972534, -0.0008301669731736183, 0.06221728026866913, -0.020779523998498917, -0.03846299648284912]",0.01468108315
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,4,8,3,"[0.0, -0.7392857074737549, -0.23571428656578064, 0.029999999329447746, 0.0, -0.0, -1.0]","[0.09745197743177414, -0.3558884859085083, -0.28492414951324463, 0.008218945935368538, 0.05332094430923462, -0.018189847469329834, -1.0530670881271362]",1.266098142,1.153051257,-1,-1.053067088,0.9477363229,"[0.09745197743177414, 0.3833972215652466, -0.04920986294746399, -0.02178105339407921, 0.05332094430923462, -0.018189847469329834, -0.05306708812713623]",0.02362520806
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,5,6,0,"[0.0, -0.5785714387893677, -0.18482142686843872, 0.0, 0.019285714253783226, -0.0, -1.0]","[-0.026308521628379822, -0.48019853234291077, -0.17626336216926575, 0.013761933892965317, 0.05179934948682785, -0.018847817555069923, -1.0051298141479492]",1.170160532,1.129542112,-1,-1.005129814,0.996057868,"[-0.026308521628379822, 0.09837290644645691, 0.008558064699172974, 0.013761933892965317, 0.032513633370399475, -0.018847817555069923, -0.005129814147949219]",0.001724384143
20260528_084146_libero_spatial_wam_gru_libero_spatial_wam_gru_dinov2s_no_future_seed0,wam_gru_dinov2s_no_future,val,datasets/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5:data/demo_18,5,7,1,"[0.0, -0.6803571581840515, -0.2142857164144516, 0.014999999664723873, 0.003214285708963871, -0.0, -1.0]","[-0.0033411160111427307, -0.45625439286231995, -0.2149697244167328, 0.01154404878616333, 0.04870680719614029, -0.021817246451973915, -1.0235998630523682]",1.228429675,1.142422676,-1,-1.023599863,0.9836285114,"[-0.0033411160111427307, 0.22410276532173157, -0.000684008002281189, -0.003455950878560543, 0.04549252241849899, -0.021817246451973915, -0.023599863052368164]",0.007621163037
